DateTime,AddedIPs,RemovedIPs
1500055635,2,1
1500059228,4,2
1500066440,0,6
1500070019,1,3
1500073617,15,2
1500077279,1,0
1500084432,2,0
1500088035,4,26
1500091637,7,4
1500095224,19,0
1500098821,6,1
1500102419,0,1
1500106041,1,0
1500109618,1,6
1500113216,2,0
1500116824,0,1
1500120443,2,1
1500124032,1,8
1500127629,5,5
1500131225,2,1
1500134823,1,3
1500138438,3,1
1500142014,5,8
1500145638,1,2
1500149240,1,2
1500152852,1,1
1500156444,0,22
1500160032,25,2
1500163660,9,0
1500167213,4,1
1500174422,1,1
1500178030,1,2
1500181601,1,2
1500185216,0,1
1500188837,1,12
1500192403,10,1
1500196009,6,0
1500199603,1,0
1500206813,0,2
1500210421,1,1
1500214020,0,3
1500217606,1,1
1500221210,1,4
1500224821,4,2
1500228418,0,1
1500232028,1,4
1500235643,0,1
1500239230,7,1
1500242832,2,0
1500246419,1,3
1500250069,0,1
1500253609,4,7
1500257210,0,2
1500260799,9,0
1500264424,2,0
1500268018,0,1
1500271625,0,2
1500275220,3,2
1500278838,0,4
1500282433,1,3
1500286012,4,0
1500289622,2,8
1500293241,4,0
1500296820,3,0
1500300393,1,1
1500304022,1,1
1500307616,1,1
1500311189,0,3
1500314831,1,2
1500318417,1,7
1500322024,2,30
1500325623,20,0
1500329220,5,1
1500332831,2,3
1500336454,12,0
1500340031,2,3
1500343656,1,2
1500347251,1,1
1500350850,1,3
1500354439,3,5
1500358050,1,2
1500361644,9,1
1500365242,2,0
1500368843,1,2
1500372440,2,4
1500376037,0,4
1500379670,0,1
1500383233,7,0
1500386833,1,2
1500390447,2,0
1500394038,1,0
1500397645,0,1
1500401245,0,2
1500404862,0,4
1500408448,2,15
1500412028,14,0
1500415658,1,4
1500419245,4,1
1500422883,6,1
1500426432,1,6
1500430042,4,1
1500433637,2,1
1500437255,0,3
1500440845,2,0
1500444446,0,5
1500448044,3,37
1500451643,7,7
1500455250,10,8
1500458836,12,3
1500462436,26,4
1500466033,4,2
1500469630,2,0
1500476842,0,4
1500480441,0,3
1500484059,2,13
1500487641,18,2
1500491258,0,1
1500494843,2,4
1500498431,0,2
1500502056,1,23
1500505629,29,0
1500509279,2,1
1500512845,2,0
1500516440,2,1
1500520054,0,3
1500523637,2,2
1500527253,4,4
1500530838,2,1
1500538064,0,1
1500541643,0,8
1500545244,7,34
1500548829,32,3
1500552439,11,0
