DateTime,AddedIPs,RemovedIPs
1501488270,1,1
1501490665,1,2
1501493548,1,1
1501494987,0,1
1501500760,1,2
1501503261,2,0
1501505066,1,0
1501507490,1,1
1501510362,1,1
1501511796,1,1
1501513723,0,1
1501518019,0,2
1501520900,1,0
1501521657,0,2
1501523062,0,2
1501523780,0,3
1501527721,0,1
1501528607,0,1
1501529301,0,1
1501530729,1,0
1501532442,1,1
1501533149,0,1
1501536277,0,1
1501541779,0,2
1501542503,1,0
1501543227,0,2
1501544650,0,1
1501545383,1,0
1501547804,1,0
1501555477,1,1
1501556891,0,3
1501557625,0,1
1501558369,0,1
1501559328,1,0
1501563368,1,0
1501565549,1,0
1501573464,0,1
1501575615,0,1
1501576332,0,399
1501578511,4,0
1501579970,0,17
1501581380,0,1
1501582087,63,1
1501582844,4,1
1501584259,0,1
1501584984,3,1
1501586425,3,3
1501587139,2,0
1501588112,104,0
1501589600,72,4
1501590249,2,0
1501590992,0,3
1501591706,1,0
1501592444,0,4
1501593146,0,7
1501594604,1,3
1501595317,0,3
1501596085,0,3
1501596746,15,0
1501597447,22,2
1501598197,59,2
1501598906,7,1
1501599692,58,0
1501600351,20,3
1501601072,31,3
1501601784,56,1
1501602522,50,8
1501603254,28,3
1501603949,25,4
1501604646,128,0
1501605398,31,8
1501606107,15,0
1501606888,8,2
1501607816,33,11
1501608503,26,0
1501609229,17,4
1501609929,44,1
1501610673,15,2
1501611300,33,5
1501612374,71,8
1501613049,36,7
1501613799,17,8
1501614773,25,7
1501615447,23,0
1501616203,28,2
1501616907,48,0
1501617690,17,2
1501618352,16,7
1501619046,9,0
1501619796,22,16
1501620518,16,0
1501621265,24,5
1501621954,16,7
1501622648,22,4
1501623398,34,4
1501624371,34,7
1501625328,26,1
1501626014,11,7
1501626750,10,3
1501627450,7,5
1501628208,20,0
1501628905,24,1
1501629617,20,5
1501630354,21,4
1501631049,32,1
1501631797,23,6
1501632770,4,13
1501633453,10,1
1501634205,5,2
1501634907,27,0
1501635667,28,10
1501636607,10,4
1501637309,8,8
1501638030,19,5
1501638727,7,0
1501639475,7,11
1501640446,15,7
1501641135,4,0
1501641866,11,12
1501643307,3,4
1501644270,12,10
1501644988,4,3
1501645724,8,4
1501646466,8,8
1501647146,0,8
1501647847,1,5
1501648600,12,3
1501649308,1,1
1501650109,0,11
1501650742,0,6
1501651473,0,9
1501652185,0,1
1501652916,0,5
1501653646,0,7
1501655047,0,10
1501656041,0,10
1501656729,0,8
1501657480,0,4
1501658190,0,6
1501658917,0,2
1501659610,0,3
1501660465,0,6
1501661334,0,7
1501662269,0,8
1501662986,0,6
1501663711,0,7
1501664460,0,4
1501665148,0,8
1501665847,0,4
1501666586,0,4
1501667333,0,1
1501668087,0,4
1501668748,0,5
1501669452,0,5
1501670906,0,11
1501672336,0,2
1501673063,0,2
1501674045,0,21
1501674728,0,5
1501676188,0,4
1501676923,0,5
1501677613,0,4
1501678342,0,3
1501679327,0,1
1501680016,0,5
1501680751,0,6
1501681450,0,3
1501682197,0,9
1501683168,0,5
1501683854,0,6
1501684618,0,5
1501685290,0,5
1501686096,0,4
1501687007,0,2
1501687690,0,2
1501688450,0,5
1501689134,0,4
1501689870,0,4
1501690844,0,3
1501691535,0,3
1501692267,0,4
1501692985,0,1
1501693710,0,1
1501694669,0,3
1501696138,0,7
1501697701,0,5
1501698772,0,5
1501699448,0,3
1501701643,0,3
1501703066,0,3
1501703775,0,2
1501704520,0,3
1501705230,0,2
1501705964,0,2
1501706648,0,2
1501707381,0,2
1501708127,0,1
1501708813,0,4
1501710247,0,2
1501711000,0,1
1501712426,0,2
1501713133,0,1
1501713863,0,1
