DateTime,Entries,UniqueIPs
1501471962,3403,3427
1501473390,3402,3426
1501476264,3400,3424
1501476985,3399,3423
1501477762,3397,3421
1501482518,3396,3420
1501483210,3395,3419
1501488270,3395,3419
1501490665,3394,3418
1501493548,3394,3418
1501494987,3393,3417
1501500760,3392,3416
1501503261,3394,3418
1501505066,3395,3419
1501507490,3395,3419
1501510362,3395,3419
1501511796,3395,3419
1501513723,3395,3418
1501518019,3393,3416
1501520900,3394,3417
1501521657,3392,3415
1501523062,3390,3413
1501523780,3387,3410
1501527721,3386,3409
1501528607,3385,3408
1501529301,3384,3407
1501530729,3385,3408
1501532442,3385,3408
1501533149,3384,3407
1501536277,3383,3406
1501541779,3381,3404
1501542503,3382,3405
1501543227,3380,3403
1501544650,3379,3402
1501545383,3380,3403
1501547804,3381,3404
1501555477,3381,3404
1501556891,3378,3401
1501557625,3377,3400
1501558369,3376,3399
1501559328,3377,3400
1501563368,3378,3401
1501565549,3379,3402
1501573464,3378,3401
1501575615,3377,3400
1501576332,2983,3001
1501578511,2986,3005
1501579970,2969,2988
1501581380,2968,2987
1501582087,3030,3049
1501582844,3033,3052
1501584259,3032,3051
1501584984,3034,3053
1501586425,3034,3053
1501587139,3036,3055
1501588112,3140,3159
1501589600,3205,3227
1501590249,3207,3229
1501590992,3205,3226
1501591706,3206,3227
1501592444,3202,3223
1501593146,3196,3216
1501594604,3194,3214
1501595317,3191,3211
1501596085,3188,3208
1501596746,3203,3223
1501597447,3223,3243
1501598197,3280,3300
1501598906,3286,3306
1501599692,3344,3364
1501600351,3361,3381
1501601072,3389,3409
1501601784,3441,3464
1501602522,3481,3506
1501603254,3505,3531
1501603949,3526,3552
1501604646,3653,3680
1501605398,3676,3703
1501606107,3691,3718
1501606888,3697,3724
1501607816,3719,3746
1501608503,3744,3772
1501609229,3757,3785
1501609929,3800,3828
1501610673,3813,3841
1501611300,3841,3869
1501612374,3902,3932
1501613049,3931,3961
1501613799,3939,3970
1501614773,3956,3988
1501615447,3979,4011
1501616203,4005,4037
1501616907,4051,4085
1501617690,4066,4100
1501618352,4075,4109
1501619046,4084,4118
1501619796,4090,4124
1501620518,4106,4140
1501621265,4125,4159
1501621954,4134,4168
1501622648,4152,4186
1501623398,4180,4216
1501624371,4207,4243
1501625328,4232,4268
1501626014,4236,4272
1501626750,4243,4279
1501627450,4245,4281
1501628208,4265,4301
1501628905,4288,4324
1501629617,4303,4339
1501630354,4320,4356
1501631049,4351,4387
1501631797,4368,4404
1501632770,4359,4395
1501633453,4368,4404
1501634205,4371,4407
1501634907,4398,4434
1501635667,4415,4452
1501636607,4421,4458
1501637309,4421,4458
1501638030,4435,4472
1501638727,4441,4479
1501639475,4437,4475
1501640446,4443,4483
1501641135,4447,4487
1501641866,4446,4486
1501643307,4445,4485
1501644270,4447,4487
1501644988,4448,4488
1501645724,4452,4492
1501646466,4452,4492
1501647146,4444,4484
1501647847,4440,4480
1501648600,4449,4489
1501649308,4449,4489
1501650109,4438,4478
1501650742,4432,4472
1501651473,4423,4463
1501652185,4422,4462
1501652916,4417,4457
1501653646,4410,4450
1501655047,4400,4440
1501656041,4390,4430
1501656729,4382,4422
1501657480,4378,4418
1501658190,4372,4412
1501658917,4370,4410
1501659610,4367,4407
1501660465,4361,4401
1501661334,4354,4394
1501662269,4347,4386
1501662986,4341,4380
1501663711,4334,4373
1501664460,4330,4369
1501665148,4322,4361
1501665847,4318,4357
1501666586,4314,4353
1501667333,4313,4352
1501668087,4309,4348
1501668748,4304,4343
1501669452,4299,4338
1501670906,4288,4327
1501672336,4286,4325
1501673063,4284,4323
1501674045,4263,4302
1501674728,4258,4297
1501676188,4254,4293
1501676923,4249,4288
1501677613,4246,4284
1501678342,4243,4281
1501679327,4242,4280
1501680016,4237,4275
1501680751,4231,4269
1501681450,4228,4266
1501682197,4219,4257
1501683168,4214,4252
1501683854,4208,4246
1501684618,4203,4241
1501685290,4198,4236
1501686096,4194,4232
1501687007,4192,4230
1501687690,4190,4228
1501688450,4185,4223
1501689134,4181,4219
1501689870,4177,4215
1501690844,4174,4212
1501691535,4171,4209
1501692267,4167,4205
1501692985,4166,4204
1501693710,4165,4203
1501694669,4162,4200
1501696138,4155,4193
1501697701,4150,4188
1501698772,4145,4183
1501699448,4142,4180
1501701643,4139,4177
1501703066,4136,4174
1501703775,4134,4172
1501704520,4131,4169
1501705230,4129,4167
1501705964,4127,4165
1501706648,4125,4163
1501707381,4123,4161
1501708127,4122,4160
1501708813,4118,4156
1501710247,4116,4154
1501711000,4115,4153
1501712426,4113,4151
1501713133,4112,4150
1501713863,4111,4149
1501715324,4110,4148
1501716772,4109,4147
1501717709,4101,4139
1501718495,4098,4136
1501719175,4097,4135
1501719850,4095,4133
1501720599,4094,4132
1501721565,4090,4128
1501723486,4087,4125
1501724444,4083,4121
