DateTime,Entries,UniqueIPs
1501707381,1687,1687
1501708127,1667,1667
1501708813,1664,1664
1501709564,1661,1661
1501710247,1658,1658
1501711000,1655,1655
1501711689,1633,1633
1501712426,1632,1632
1501713133,1629,1629
1501715324,1608,1608
1501716772,1606,1606
1501717709,1604,1604
1501718495,1587,1587
1501719175,1585,1585
1501719850,1584,1584
1501720599,1582,1582
1501721565,1581,1581
1501722537,1565,1565
1501723486,1564,1564
1501724444,1562,1562
1501725400,1561,1561
1501726366,1548,1548
1501727304,1544,1544
1501728033,1541,1541
1501729470,1526,1526
1501731170,1525,1525
1501732597,1522,1522
1501733577,1506,1506
1501734249,1503,1503
1501735690,1502,1502
1501736563,62,62
1501737413,70,70
1501738107,143,143
1501738823,144,144
1501739548,172,172
1501740297,155,155
1501741246,168,168
1501741935,167,167
1501742663,283,283
1501743386,282,282
1501744116,262,262
1501745068,277,277
1501746045,323,323
1501746737,352,352
1501747474,429,429
1501748188,506,506
1501748926,605,605
1501749867,664,664
1501750968,743,743
1501751824,778,778
1501752777,857,857
1501753446,874,874
1501754200,923,923
1501754909,920,920
1501755636,967,967
1501756611,1023,1023
1501757310,1028,1028
1501758092,1091,1091
1501758737,1129,1129
1501759471,1202,1202
1501760187,1272,1272
1501760910,1291,1291
1501761666,1300,1300
1501762353,1299,1299
1501763046,1299,1299
1501763771,1297,1297
1501764505,1381,1381
1501765287,1417,1417
1501765967,1430,1430
1501766649,1446,1446
1501767394,1455,1455
1501768108,1474,1474
1501768856,156,156
1501769546,164,164
1501770259,163,163
1501770986,313,313
1501771723,326,326
1501772487,327,327
1501773159,335,335
1501773846,333,333
1501774599,333,333
1501775315,336,336
1501776108,331,331
1501776766,348,348
1501777448,366,366
1501778205,394,394
1501778906,425,425
1501779698,506,506
1501780354,523,523
1501781062,610,610
1501781769,668,668
1501782504,683,683
1501783274,684,684
1501784223,697,697
1501784889,790,790
1501785645,800,800
1501786350,883,883
1501787317,927,927
1501788286,1075,1075
1501789247,1173,1173
1501789947,1252,1252
1501790570,1337,1337
1501791420,1346,1346
1501792367,1395,1395
1501793046,1398,1398
1501793781,1444,1444
1501794505,1487,1487
1501795227,1509,1509
1501795932,1526,1526
1501796666,1524,1524
1501797381,1528,1528
1501798138,1614,1614
1501799070,1650,1650
1501800048,1669,1669
1501801007,1698,1698
1501801976,1714,1714
1501802647,1735,1735
1501803399,1735,1735
1501804109,1732,1732
1501804946,1737,1737
1501805829,1769,1769
1501806771,1834,1834
1501807451,1886,1886
1501808179,1902,1902
1501808887,1923,1923
1501809661,1914,1914
1501810354,1913,1913
1501811058,1921,1921
1501811786,1926,1926
1501812536,1971,1971
1501813481,1996,1996
1501814187,2014,2014
1501814925,2062,2062
1501815688,2198,2198
1501816350,2182,2182
1501817048,2202,2202
1501817798,2203,2203
1501818510,2258,2258
1501819297,2285,2285
1501820223,2288,2288
1501821174,2276,2276
1501821847,2303,2303
1501822596,2302,2302
1501823305,2307,2307
1501824038,2289,2289
1501824732,2293,2293
1501825458,2382,2382
1501826486,2410,2410
1501827136,2408,2408
1501827880,2406,2406
1501828850,2435,2435
1501829533,2437,2437
1501830268,2428,2428
1501830988,2301,2301
1501831727,2160,2160
1501832412,2125,2125
1501833142,2135,2135
1501833743,2157,2157
1501834618,2165,2165
1501835571,2186,2186
1501836250,2201,2201
1501836985,2203,2203
1501837966,2196,2196
1501838655,2158,2158
1501839403,1859,1859
1501840112,1729,1729
1501840895,1730,1730
1501841810,1781,1781
1501842516,1787,1787
1501843228,1786,1786
1501843934,1782,1782
1501844541,1775,1775
1501845419,1800,1800
1501846104,237,237
1501846823,271,271
1501847528,220,220
1501848294,257,257
1501849266,102,102
1501852124,197,197
1501852831,198,198
1501853563,200,200
1501854253,200,200
