DateTime,Entries,UniqueIPs
1501623403,7719,7719
1501624375,7716,7716
1501625333,7706,7706
1501626018,7697,7697
1501626755,7703,7703
1501627455,7701,7701
1501628213,7716,7716
1501628909,7720,7720
1501629621,7703,7703
1501630359,7677,7677
1501631054,7671,7671
1501631801,7671,7671
1501632774,7673,7673
1501633457,7664,7664
1501634209,7483,7483
1501634912,7480,7480
1501635671,7473,7473
1501636611,7481,7481
1501637313,7475,7475
1501638034,7480,7480
1501638731,7469,7469
1501639479,7470,7470
1501640450,7465,7465
1501641139,7455,7455
1501641870,7453,7453
1501642589,7437,7437
1501643311,7435,7435
1501644274,7458,7458
1501644992,7455,7455
1501645728,7445,7445
1501646471,7463,7463
1501647149,7462,7462
1501647852,7448,7448
1501648604,7454,7454
1501649312,7451,7451
1501650113,7453,7453
1501650746,7460,7460
1501651477,7459,7459
1501652189,7462,7462
1501652920,7472,7472
1501653650,7478,7478
1501654353,7468,7468
1501655051,7460,7460
1501656045,7475,7475
1501656733,7479,7479
1501657484,7477,7477
1501658194,7501,7501
1501658921,7505,7505
1501659614,7504,7504
1501660469,7499,7499
1501661338,7499,7499
1501662275,7505,7505
1501662989,7501,7501
1501663715,7502,7502
1501664464,7523,7523
1501665152,7506,7506
1501665851,7509,7509
1501666590,7518,7518
1501667337,7524,7524
1501668091,7529,7529
1501668752,7532,7532
1501669456,7512,7512
1501670205,7516,7516
1501670910,7527,7527
1501671679,7528,7528
1501672340,7524,7524
1501673067,7555,7555
1501674049,7554,7554
1501674732,7546,7546
1501675474,7567,7567
1501676192,7553,7553
1501676929,7546,7546
1501677616,7560,7560
1501678346,7575,7575
1501679331,7584,7584
1501680020,7580,7580
1501680755,7581,7581
1501681454,7583,7583
1501682201,7583,7583
1501683173,7592,7592
1501683858,7588,7588
1501684622,7599,7599
1501685295,7597,7597
1501686100,7595,7595
1501687011,7615,7615
1501687694,7621,7621
1501688454,7617,7617
1501689138,7598,7598
1501689874,7598,7598
1501690849,7588,7588
