DateTime,Entries,UniqueIPs
1501524860,9334,9334
1501525830,9336,9336
1501526729,9338,9338
1501528006,9340,9340
1501528827,9346,9346
1501529729,9338,9338
1501531265,9338,9338
1501532110,8244,8244
1501533033,9343,9343
1501533935,9346,9346
1501535664,9348,9348
1501536625,9321,9321
1501537818,9325,9325
1501539026,9312,9312
1501540225,9285,9285
1501540947,9288,9288
1501541778,9289,9289
1501542634,9290,9290
1501543698,9292,9292
1501545659,9286,9286
1501546528,9291,9291
1501547299,9295,9295
1501549829,9281,9281
1501550899,9287,9287
1501551990,9289,9289
1501552924,9292,9292
1501553728,9294,9294
1501554634,9291,9291
1501555531,9291,9291
1501556517,9292,9292
1501557325,9296,9296
1501558229,9280,9280
1501559131,9282,9282
1501560634,9281,9281
1501561699,9285,9285
1501562555,9280,9280
1501564529,9279,9279
1501566332,9272,9272
1501567681,9274,9274
1501569626,8244,8244
1501570590,9275,9275
1501571431,9271,9271
1501572508,9275,9275
1501573348,9273,9273
1501574155,9274,9274
1501575036,9279,9279
1501576098,9281,9281
1501577138,9275,9275
1501578087,9269,9269
1501578943,9269,9269
1501579831,9266,9266
1501580661,9259,9259
1501582231,9253,9253
1501583106,9256,9256
1501584030,9243,9243
1501584919,9242,9242
1501585270,9237,9237
1501586065,9240,9240
1501587036,9201,9201
1501587749,9178,9178
1501589431,9145,9145
1501590635,9142,9142
1501592577,9145,9145
1501593612,8244,8244
1501594527,9150,9150
1501594952,9150,9150
1501595827,9151,9151
1501596634,9151,9151
1501599019,9148,9148
1501600458,9147,9147
1501601429,9148,9148
1501602333,9147,9147
1501604067,9150,9150
1501604912,9154,9154
1501605724,9147,9147
1501606725,9118,9118
1501607683,9119,9119
1501608504,9125,9125
1501609329,9117,9117
1501610187,9121,9121
1501611034,9113,9113
1501612824,9065,9065
1501613734,9071,9071
1501614629,9061,9061
1501615532,9067,9067
1501616435,9059,9059
1501617379,9061,9061
1501618213,8244,8244
1501618460,9060,9060
1501619418,9044,9044
1501620919,9023,9023
1501621831,8998,8998
1501623748,8244,8244
1501624550,9009,9009
1501625429,9007,9007
1501626633,8994,8994
1501627537,8997,8997
1501628471,8998,8998
1501629258,9002,9002
1501630098,9007,9007
1501631123,8993,8993
1501632625,8998,8998
1501633697,9000,9000
1501635149,8985,8985
1501636233,8984,8984
1501637429,8985,8985
1501638707,8984,8984
1501639834,8980,8980
1501640769,8981,8981
1501641624,8977,8977
1501643172,8985,8985
1501644041,8986,8986
1501645353,8984,8984
1501646552,8988,8988
1501647633,8990,8990
1501648834,8989,8989
1501649772,8994,8994
1501650634,8999,8999
1501651827,9001,9001
1501652731,9004,9004
1501653378,9006,9006
1501654230,8979,8979
1501655426,8975,8975
1501656246,8977,8977
1501657833,8979,8979
1501659029,8982,8982
1501660518,8986,8986
1501661431,8988,8988
1501662494,8244,8244
1501665323,8987,8987
1501666235,8983,8983
1501666943,8974,8974
1501668636,8975,8975
1501670105,8975,8975
1501671546,8973,8973
1501672530,8977,8977
1501673431,8970,8970
1501674989,8972,8972
1501675836,8951,8951
1501676070,8956,8956
1501677051,8956,8956
1501677753,8956,8956
1501678578,8958,8958
1501679424,8956,8956
1501680508,8959,8959
1501681345,8955,8955
1501682175,8244,8244
1501683033,8953,8953
1501684110,8954,8954
1501685460,8949,8949
1501686447,8948,8948
1501687823,8946,8946
1501690133,8943,8943
1501691134,8944,8944
1501692332,8940,8940
1501693271,8938,8938
1501694127,8939,8939
1501695032,8938,8938
1501695888,8937,8937
1501697658,8943,8943
1501698631,8939,8939
1501699620,8938,8938
1501700625,8244,8244
1501701258,8937,8937
1501702098,8940,8940
1501703129,8934,8934
1501704495,8936,8936
1501706399,8944,8944
1501708458,8950,8950
1501709418,8945,8945
1501710146,8946,8946
1501711835,8948,8948
1501713031,8940,8940
1501714578,8942,8942
1501715433,8943,8943
1501717350,8943,8943
1501719326,8947,8947
1501720223,8940,8940
1501721134,8937,8937
1501722234,8935,8935
1501722864,8936,8936
1501723727,8939,8939
1501724548,8930,8930
1501726232,8967,8967
1501728154,9035,9035
1501730058,9077,9077
1501731026,9075,9075
1501732283,9080,9080
1501733430,9079,9079
1501734515,9079,9079
1501735357,9075,9075
1501737033,9076,9076
1501738225,9076,9076
1501739131,9074,9074
1501739787,9076,9076
1501740625,9074,9074
1501741711,9078,9078
1501743220,9080,9080
1501744227,9078,9078
1501745522,8244,8244
1501746342,9088,9088
1501748059,9093,9093
1501749628,9096,9096
1501750664,9101,9101
1501751665,9106,9106
1501752634,9109,9109
1501753546,9115,9115
1501754472,9117,9117
1501755337,9121,9121
1501756118,9125,9125
1501757051,9121,9121
1501757788,9129,9129
1501758640,9151,9151
1501759727,9163,9163
1501760731,9143,9143
1501761379,9153,9153
1501762240,9163,9163
1501763438,9163,9163
1501764152,9166,9166
1501766433,8244,8244
1501766919,9215,9215
1501768783,9253,9253
1501769732,9258,9258
1501770632,9255,9255
1501771353,8244,8244
1501772191,9260,9260
1501773033,9253,9253
1501774110,9257,9257
1501774998,9249,9249
1501776629,9246,9246
1501778552,9238,9238
1501779593,9235,9235
1501780531,9246,9246
1501781427,9260,9260
1501783831,9252,9252
1501784883,8244,8244
1501785931,9261,9261
1501787657,9263,9263
1501788580,9262,9262
1501790887,9271,9271
1501792236,9268,9268
1501792950,9249,9249
1501793790,9252,9252
1501794632,9246,9246
1501795535,9249,9249
1501796426,9242,9242
1501797383,9270,9270
1501798471,9338,9338
1501799317,9338,9338
1501801683,9332,9332
1501803758,9331,9331
1501804648,9334,9334
1501805696,9334,9334
1501806512,9337,9337
1501808364,9332,9332
1501809330,9334,9334
1501810242,9332,9332
1501811273,9334,9334
1501812860,9330,9330
1501813851,9329,9329
1501814736,9328,9328
1501816236,9360,9360
1501817310,9374,9374
1501818978,9374,9374
1501819832,9369,9369
1501821768,9363,9363
1501823407,9380,9380
1501824244,8244,8244
1501825232,9378,9378
1501826122,9380,9380
1501827045,9379,9379
1501827934,9381,9381
1501828956,9370,9370
1501829780,8244,8244
1501830651,9365,9365
1501830868,9366,9366
1501831854,9364,9364
1501832747,9370,9370
1501834234,9377,9377
1501835419,9372,9372
1501836143,9376,9376
1501837117,9373,9373
1501837953,9373,9373
1501838996,9371,9371
1501839929,9375,9375
1501841448,9375,9375
1501842335,9376,9376
1501843239,9372,9372
1501845042,9378,9378
1501846267,9371,9371
1501848652,9367,9367
1501849878,9379,9379
1501851946,9383,9383
1501852827,9401,9401
1501853725,9425,9425
1501854723,9448,9448
1501855831,9459,9459
1501857034,9457,9457
1501858523,9456,9456
1501859428,9455,9455
1501860511,9459,9459
1501861533,9455,9455
1501862470,9452,9452
1501863341,9460,9460
1501864667,9463,9463
1501865789,9466,9466
1501866638,9465,9465
1501868526,8244,8244
1501869387,9464,9464
1501870236,9464,9464
1501870468,9465,9465
1501871450,9458,9458
1501872151,9457,9457
1501874061,8244,8244
1501875041,9453,9453
1501875908,9453,9453
1501877659,9454,9454
1501878625,9448,9448
1501879536,9445,9445
1501881039,9446,9446
1501882248,9438,9438
1501883286,8244,8244
1501884488,9439,9439
1501885856,9435,9435
1501886728,9436,9436
1501888463,9442,9442
1501889437,8244,8244
1501890159,9436,9436
1501890978,9438,9438
1501891848,9437,9437
1501893742,8244,8244
1501895659,9433,9433
1501897355,9396,9396
1501899273,9374,9374
1501900117,9375,9375
1501900959,9353,9353
1501902625,9359,9359
1501903720,9369,9369
