DateTime,Entries,UniqueIPs
1501433716,479,479
1501434956,478,478
1501435798,477,477
1501436600,479,479
1501437542,478,478
1501438531,476,476
1501440153,471,471
1501441496,469,469
1501442427,470,470
1501444259,469,469
1501444657,470,470
1501447351,471,471
1501449926,472,472
1501451170,469,469
1501452630,468,468
1501453577,470,470
1501454425,466,466
1501456287,462,462
1501457306,463,463
1501458907,457,457
1501459832,457,457
1501461032,448,448
1501461924,449,449
1501463662,451,451
1501464502,453,453
1501465524,452,452
1501467029,454,454
1501468106,455,455
1501469726,433,433
1501470861,433,433
1501471707,435,435
1501472729,431,431
1501474232,432,432
1501476999,433,433
1501477836,435,435
1501478901,436,436
1501480583,434,434
1501481432,435,435
1501482503,438,438
1501485032,436,436
1501486101,438,438
1501487127,431,431
1501488633,431,431
1501490553,433,433
1501492462,436,436
1501493430,435,435
1501494328,436,436
1501495653,437,437
1501497635,462,462
1501499732,462,462
1501500628,459,459
1501501530,461,461
1501502188,463,463
1501504069,462,462
1501505964,466,466
1501506880,466,466
1501507827,461,461
1501509190,462,462
1501510228,462,462
1501511303,466,466
1501512332,466,466
1501514068,465,465
1501515028,464,464
1501515927,464,464
1501516581,465,465
1501517451,459,459
1501519237,461,461
1501520471,468,468
1501522529,466,466
1501524863,469,469
1501525833,470,470
1501526735,472,472
1501528008,471,471
1501528835,472,472
1501529732,469,469
1501531268,466,466
1501532117,467,467
1501533036,470,470
1501533939,474,474
1501535667,473,473
1501537821,485,485
1501539029,488,488
1501540227,487,487
1501541781,490,490
1501542637,489,489
1501543701,490,490
1501545663,491,491
1501546531,492,492
1501547301,494,494
1501549832,495,495
1501550901,499,499
1501551992,495,495
1501552928,496,496
1501553731,497,497
1501554637,497,497
1501555534,498,498
1501556525,499,499
1501558232,499,499
1501559134,497,497
1501560636,495,495
1501561701,496,496
1501562561,497,497
1501564531,494,494
1501566338,491,491
1501567708,493,493
1501570593,499,499
1501571434,497,497
1501572513,503,503
1501573352,504,504
1501574160,508,508
1501575043,510,510
1501576101,513,513
1501577149,516,516
1501578101,517,517
1501578946,516,516
1501579834,515,515
1501580672,516,516
1501582234,520,520
1501583111,521,521
1501584036,516,516
1501584922,520,520
1501585280,518,518
1501586068,520,520
1501587043,520,520
1501587755,522,522
1501589434,523,523
1501590643,522,522
1501592586,520,520
