DateTime,Entries,UniqueIPs
1501510228,2012,2012
1501511302,2013,2013
1501512331,1993,1993
1501514067,2003,2003
1501515027,1993,1993
1501515926,2002,2002
1501516580,2008,2008
1501517450,2008,2008
1501519234,2000,2000
1501520469,2004,2004
1501521259,2003,2003
1501522528,2004,2004
1501524863,1994,1994
1501525832,1989,1989
1501526733,1996,1996
1501528008,2002,2002
1501528831,2009,2009
1501529731,1997,1997
1501531265,1980,1980
1501533035,1969,1969
1501533938,1970,1970
1501535666,1984,1984
1501536627,1985,1985
1501537820,1999,1999
1501539028,2009,2009
1501539261,2015,2015
1501540227,2020,2020
1501540952,2025,2025
1501541780,2038,2038
1501542638,2036,2036
1501543700,2044,2044
1501545662,2047,2047
1501546530,2054,2054
1501547301,2066,2066
1501549831,2061,2061
1501550901,2060,2060
1501551991,2050,2050
1501552927,2045,2045
1501553730,2043,2043
1501554636,2044,2044
1501555533,2041,2041
1501556522,2045,2045
1501558231,2040,2040
1501559133,2050,2050
1501560636,2043,2043
1501561701,2053,2053
1501562558,2046,2046
1501564530,2054,2054
1501565306,2061,2061
1501566336,2049,2049
1501567706,2048,2048
1501570592,2053,2053
1501571433,2046,2046
1501572511,2066,2066
1501573350,2057,2057
1501574159,1978,1978
1501575038,1989,1989
1501576100,1998,1998
1501577145,1981,1981
1501578099,1983,1983
1501578945,1981,1981
1501579833,1970,1970
1501580667,1977,1977
1501582233,1980,1980
1501583109,1989,1989
1501584033,1969,1969
1501584921,1973,1973
1501585275,1962,1962
1501586067,1969,1969
1501587038,1963,1963
1501587752,1966,1966
1501589433,1963,1963
1501590638,1965,1965
1501592580,1963,1963
1501594955,1961,1961
1501595833,1961,1961
1501596636,1960,1960
1501597706,1964,1964
1501599021,1963,1963
1501600459,2028,2028
1501601431,2030,2030
1501602339,2021,2021
1501604913,2032,2032
1501605724,2010,2010
1501606727,2016,2016
1501607687,2016,2016
1501608506,2017,2017
1501609334,2011,2011
1501610189,2010,2010
1501611037,2006,2006
1501612828,1996,1996
1501613735,2023,2023
1501614631,2029,2029
1501615536,2038,2038
1501616441,1947,1947
1501617381,1953,1953
1501618462,1950,1950
1501619418,1942,1942
1501620921,1947,1947
1501621832,1936,1936
1501624552,1940,1940
1501625431,1921,1921
1501626635,1915,1915
1501627541,1904,1904
1501628477,1894,1894
1501629260,1901,1901
1501630100,1912,1912
1501632627,1900,1900
1501633699,1906,1906
1501635151,1894,1894
1501636235,1891,1891
1501637431,1941,1941
1501638709,1956,1956
1501639836,1942,1942
1501640775,1949,1949
1501641633,1938,1938
1501643183,1939,1939
1501645358,1915,1915
1501646556,1909,1909
1501647640,1910,1910
1501649774,1909,1909
1501650636,1899,1899
1501651829,1905,1905
1501652734,1902,1902
1501653380,1905,1905
1501654232,1898,1898
1501655428,1896,1896
1501656250,1897,1897
1501657835,1903,1903
1501659031,1898,1898
1501660520,1906,1906
1501661433,1900,1900
1501662500,1907,1907
1501665330,1910,1910
1501666238,1905,1905
1501666954,1903,1903
1501668637,1904,1904
1501670111,1910,1910
1501671548,1908,1908
1501672532,1913,1913
1501673433,1896,1896
1501674337,1893,1893
1501674991,1898,1898
1501675838,1891,1891
1501676072,1894,1894
1501677053,1891,1891
1501677763,1842,1842
1501678580,1855,1855
1501679427,1862,1862
1501680510,1882,1882
1501681349,1871,1871
1501682177,1878,1878
1501683035,1866,1866
1501684112,1875,1875
1501685462,1856,1856
1501686451,1857,1857
1501687825,1856,1856
1501690138,1861,1861
1501691138,1867,1867
1501692336,1867,1867
1501693277,1867,1867
1501694129,1888,1888
1501695034,1932,1932
1501695892,1956,1956
1501697660,1951,1951
1501698634,1943,1943
1501699624,1948,1948
1501701260,1953,1953
1501702100,1951,1951
1501703133,1925,1925
1501704499,1918,1918
1501706401,1911,1911
1501708460,1913,1913
1501709422,1933,1933
1501710150,1944,1944
1501711837,1966,1966
1501713033,1956,1956
1501714580,1953,1953
1501715435,1952,1952
1501717354,1953,1953
1501719328,1968,1968
1501720225,1968,1968
1501721138,1981,1981
1501722243,1991,1991
1501722866,1995,1995
1501723729,1997,1997
1501724553,1985,1985
1501726233,2006,2006
1501728159,2019,2019
1501730060,2031,2031
1501731028,2019,2019
1501732285,2027,2027
1501733432,2021,2021
1501734517,2037,2037
1501735361,2039,2039
1501737035,2040,2040
1501738229,2053,2053
1501739134,2058,2058
1501739789,2071,2071
1501740627,2075,2075
1501741718,2088,2088
1501743221,2081,2081
1501744229,2098,2098
1501746348,2168,2168
1501748061,2169,2169
1501749635,2170,2170
1501750666,2184,2184
1501751667,2189,2189
1501752639,2175,2175
1501753552,2175,2175
1501754479,2166,2166
1501755339,2169,2169
1501756120,2174,2174
1501757059,2156,2156
1501757790,2169,2169
1501758651,2166,2166
1501758860,2182,2182
1501759733,2209,2209
1501761382,2223,2223
1501762242,2221,2221
1501763441,2221,2221
1501764158,2229,2229
1501766927,2234,2234
1501768787,2219,2219
1501769734,2224,2224
1501770634,2233,2233
1501772193,2248,2248
1501773035,2241,2241
1501774115,2254,2254
1501775003,2236,2236
1501776631,2240,2240
1501778557,2241,2241
1501779595,2246,2246
1501780533,2256,2256
1501781429,2263,2263
1501783837,2265,2265
1501784893,2274,2274
1501785936,2253,2253
1501787659,2263,2263
1501788587,2250,2250
1501790892,2268,2268
1501792238,2283,2283
1501792957,2288,2288
1501793792,2290,2290
1501794633,2293,2293
1501795541,2310,2310
1501796430,2305,2305
1501797385,2310,2310
1501798473,2327,2327
1501799323,2331,2331
1501801688,2324,2324
1501803763,2337,2337
1501804650,2382,2382
1501805698,2381,2381
1501806517,2382,2382
1501808369,2367,2367
1501809332,2369,2369
1501810246,2369,2369
1501811279,2365,2365
1501812862,2351,2351
1501813853,2349,2349
1501814741,2355,2355
1501816238,2361,2361
1501817315,2373,2373
1501818979,2359,2359
1501819834,2368,2368
1501821775,2361,2361
1501823422,2357,2357
1501825237,2357,2357
1501826123,2368,2368
1501827054,2362,2362
1501828797,2370,2370
1501830656,2388,2388
1501830870,2394,2394
1501831856,2410,2410
1501832752,2416,2416
1501834239,2501,2501
1501835425,2563,2563
1501836145,2581,2581
1501837125,2629,2629
1501837957,2677,2677
1501838998,2698,2698
1501839934,2729,2729
1501841458,2767,2767
1501842346,2784,2784
1501843245,2793,2793
1501845055,2829,2829
1501846272,2887,2887
1501848658,2908,2908
1501849885,2908,2908
1501851951,2903,2903
1501852832,2920,2920
1501853729,2909,2909
1501854725,2940,2940
1501855836,2938,2938
1501857036,2932,2932
1501858525,2933,2933
1501859436,2933,2933
1501860516,2926,2926
1501861539,2916,2916
1501862475,2893,2893
1501863343,2902,2902
1501864668,2890,2890
1501865791,2892,2892
1501866640,2879,2879
1501868531,2878,2878
1501869389,2885,2885
1501870241,2871,2871
1501870469,2870,2870
1501871452,2869,2869
1501872157,2871,2871
1501875047,2886,2886
1501875913,2886,2886
1501877661,2886,2886
1501878633,2860,2860
1501879542,2869,2869
1501881045,2861,2861
1501882250,2850,2850
1501884495,2842,2842
1501885868,2839,2839
1501886730,2841,2841
1501888465,2850,2850
1501890165,2841,2841
1501890980,2868,2868
1501891854,2880,2880
1501894922,2888,2888
1501895662,2890,2890
1501896536,2893,2893
1501897357,2880,2880
1501899275,2863,2863
1501900123,2870,2870
1501900965,2847,2847
1501902630,2860,2860
1501903725,2874,2874
1501904742,2865,2865
1501906240,2853,2853
1501907279,2874,2874
1501908152,2850,2850
1501909680,2827,2827
1501911754,2813,2813
1501912587,2822,2822
1501913450,2811,2811
1501915369,2785,2785
1501917261,2785,2785
1501918259,2777,2777
1501919154,2784,2784
1501919782,2786,2786
1501920649,2765,2765
1501921523,2773,2773
1501922557,2778,2778
1501924260,2965,2965
1501926142,2974,2974
1501926980,2970,2970
1501928069,2956,2956
1501929036,2947,2947
1501929777,2941,2941
1501931437,2941,2941
1501932524,2963,2963
1501933526,2958,2958
1501935060,2975,2975
1501936100,3031,3031
1501936968,3035,3035
1501939546,3028,3028
1501940436,3005,3005
1501941388,3017,3017
1501942248,3007,3007
1501943327,3013,3013
1501945282,2993,2993
1501946127,2987,2987
1501947060,2979,2979
1501947762,2973,2973
1501948581,2981,2981
1501949444,2977,2977
1501949661,2979,2979
1501951235,2971,2971
1501952171,2976,2976
1501953260,2966,2966
1501954247,2945,2945
1501954973,2950,2950
1501955793,2961,2961
1501956647,2966,2966
1501957542,2973,2973
1501958729,2968,2968
1501960066,2947,2947
1501961458,2934,2934
1501962347,2932,2932
1501963679,2925,2925
1501967194,2902,2902
1501968039,2910,2910
1501968925,2901,2901
1501971270,2942,2942
1501972101,2943,2943
1501973243,2929,2929
1501974658,2913,2913
1501975827,2914,2914
1501976746,2912,2912
1501978497,2906,2906
1501979463,2886,2886
1501980347,2885,2885
1501981697,2880,2880
1501982896,2890,2890
1501984202,2881,2881
1501985425,2877,2877
1501987381,2869,2869
1501989330,2861,2861
1501990821,2841,2841
1501992654,2849,2849
1501993735,2858,2858
1501994729,2844,2844
1501995380,2846,2846
1501996258,2844,2844
1501996452,2848,2848
1501997450,2830,2830
1501998358,2820,2820
1501999862,2813,2813
1502001154,2803,2803
1502001768,2794,2794
1502002584,2807,2807
1502003439,2802,2802
1502004661,2779,2779
1502005495,2775,2775
1502007065,2760,2760
1502008233,2749,2749
1502010665,2742,2742
1502011701,2752,2752
1502014260,2715,2715
1502015130,2723,2723
1502016045,2699,2699
1502017833,2674,2674
1502020207,2670,2670
1502022206,2656,2656
1502022501,2661,2661
1502023622,2641,2641
1502024485,2635,2635
1502025260,2641,2641
1502026237,2630,2630
1502027244,2682,2682
1502028882,2682,2682
1502029743,2681,2681
1502030772,2666,2666
1502031696,2663,2663
1502032526,2661,2661
1502033451,2661,2661
1502034331,2659,2659
1502037321,2651,2651
1502037783,2645,2645
1502040040,2650,2650
1502040926,2643,2643
1502041865,2646,2646
1502043049,2649,2649
1502044970,2628,2628
1502047830,2625,2625
1502050461,2620,2620
1502051455,2611,2611
1502052331,2614,2614
1502053790,2619,2619
1502055031,2608,2608
1502055946,2613,2613
1502056587,2611,2611
1502057435,2593,2593
1502059109,2583,2583
1502061021,2578,2578
1502061920,2581,2581
1502062976,2577,2577
1502063786,2583,2583
1502064638,2579,2579
1502065831,2568,2568
1502066739,2560,2560
1502068233,2563,2563
1502069720,2551,2551
1502071835,2539,2539
1502073746,2531,2531
1502075660,2545,2545
1502076653,2540,2540
1502077527,2553,2553
1502078186,2556,2556
1502079032,2565,2565
1502080947,2572,2572
1502082931,2606,2606
1502083834,2603,2603
1502084544,2607,2607
1502085389,2627,2627
1502086240,2631,2631
1502087442,2630,2630
1502088153,2635,2635
1502090135,2653,2653
1502091029,2655,2655
1502091928,2664,2664
1502093092,2658,2658
1502093661,2652,2652
1502094639,2632,2632
1502095349,2634,2634
1502096813,2635,2635
1502097632,2655,2655
1502098835,2650,2650
1502100084,2660,2660
1502100873,2677,2677
1502101835,2671,2671
1502102784,2670,2670
1502103724,2642,2642
