DateTime,AddedIPs,RemovedIPs
1501520460,221,19
1501521255,176,0
1501522516,224,28
1501524858,329,39
1501525828,156,32
1501526725,114,16
1501528004,136,16
1501528822,23,1
1501529724,31,32
1501531257,61,54
1501532110,0,12756
1501533029,12782,0
1501533929,35,10
1501535662,63,27
1501536623,31,25
1501537816,41,0
1501539024,47,38
1501539257,4,0
1501540221,37,41
1501540942,28,8
1501541777,39,2
1501542632,32,20
1501543696,29,0
1501545654,89,81
1501546524,39,0
1501547297,56,0
1501549828,142,79
1501550897,53,1
1501551980,63,63
1501552919,43,23
1501553723,34,1
1501554627,16,39
1501555529,17,12
1501556513,20,21
1501557323,20,0
1501558225,20,40
1501559128,36,7
1501560632,47,31
1501561697,33,0
1501562550,16,43
1501563591,37,20
1501564525,21,2
1501565302,20,1
1501566327,18,49
1501567652,37,35
1501569626,120,36
1501570584,146,5
1501571430,112,29
1501572504,183,1
1501573343,142,282
1501574151,144,0
1501575034,115,148
1501576096,144,2
1501577133,144,276
1501578089,144,31
1501578937,165,3
1501579826,170,59
1501580655,96,35
1501582229,212,23
1501583097,126,0
1501584024,145,54
1501584917,217,2
1501585264,70,30
1501586063,166,2
1501587034,153,27
1501587745,90,11
1501589429,208,27
1501590630,129,27
1501592570,161,30
1501593612,0,15688
1501594520,15840,0
1501594947,47,8
1501595823,101,1
1501596632,85,25
1501597702,91,3
1501599017,132,51
1501600456,112,40
1501601427,90,39
1501602328,77,12
1501604065,138,22
1501604907,87,0
1501605718,86,51
1501606723,86,11
1501607679,68,2
1501608502,77,1
1501609323,60,73
1501610185,59,1
1501611031,58,66
1501612822,135,46
1501613732,84,0
1501614627,70,20
1501615527,69,2
1501616430,71,49
1501617377,80,1
1501618213,0,17279
1501618458,17331,0
1501619407,92,39
1501620917,121,21
1501621829,52,31
1501623748,0,17505
1501624548,17628,0
1501625427,58,30
1501626628,79,32
1501627534,49,13
1501628466,54,28
1501629256,49,3
1501630096,55,2
1501631121,69,40
1501632623,78,38
1501633696,62,0
1501635147,56,72
1501636231,36,30
1501637424,43,41
1501638705,43,22
1501639832,30,41
1501640763,32,1
1501641622,40,90
1501643166,68,38
1501644036,29,1
1501645344,45,57
1501646550,66,38
1501647631,54,1
1501648831,65,68
1501649771,39,2
1501650632,45,33
1501651823,57,68
1501652729,45,33
1501653377,25,0
1501654228,40,42
1501655424,38,73
1501656240,41,24
1501657831,63,50
1501659027,59,54
1501660516,70,18
1501661429,28,46
1501662494,0,18209
1501665317,17796,0
1501666233,32,184
1501666941,29,89
1501668634,51,376
1501670103,75,346
1501671544,265,263
1501672528,166,30
1501673429,140,515
1501674331,25,1
1501674987,36,0
1501675834,32,240
1501676068,1,1
1501677041,56,271
1501677745,40,94
1501678576,59,0
1501679420,80,196
1501680506,87,2
1501681343,69,252
1501682175,0,16179
1501683031,15857,0
1501684105,25,2
1501685458,52,484
1501686434,24,254
1501687818,51,338
1501690128,82,358
1501691132,37,1
1501692330,62,434
1501693264,37,176
1501694124,50,0
1501695028,57,255
1501695878,49,77
1501697656,153,152
1501698629,51,50
1501699618,48,25
1501700623,62,49
1501701256,36,0
1501702096,33,2
1501703126,40,97
1501704487,52,41
1501706397,100,82
1501708456,72,47
1501709414,50,51
1501710143,44,25
1501711833,57,52
1501713029,43,58
1501714576,50,25
1501715431,39,59
1501717347,81,118
1501719324,80,64
1501720219,36,103
1501721128,43,40
1501722236,82,53
1501722862,33,2
1501723725,45,2
1501724542,48,62
