DateTime,Entries,UniqueIPs
1501841430,7381,7381
1501842319,7411,7411
1501843220,7424,7424
1501845028,7470,7470
1501846257,7471,7471
1501848637,7574,7574
1501849849,7609,7609
1501851931,7634,7634
1501852814,7667,7667
1501853721,7660,7660
1501854718,7679,7679
1501855822,7700,7700
1501857019,7702,7702
1501858515,7734,7734
1501859420,7740,7740
1501860497,7790,7790
1501862453,7810,7810
1501863321,7858,7858
1501864661,7877,7877
1501865777,7920,7920
1501866625,7943,7943
1501869377,8023,8023
1501870222,8043,8043
1501870457,8052,8052
1501871434,8055,8055
1501872143,8051,8051
1501874058,8123,8123
1501875027,8124,8124
1501877653,8213,8213
1501878613,8199,8199
1501879521,8221,8221
1501881023,8236,8236
1501882233,8243,8243
1501883277,8295,8295
1501884480,8296,8296
1501885832,8322,8322
1501886715,8354,8354
1501888455,8382,8382
1501889422,8368,8368
1501890142,8390,8390
1501890973,8429,8429
1501891835,8433,8433
1501893741,8478,8478
1501895654,8532,8532
1501896503,8564,8564
1501897349,8548,8548
1501899259,8607,8607
1501900102,8647,8647
1501900942,8622,8622
1501903213,8706,8706
1501903707,8717,8717
1501904721,8727,8727
1501906221,8738,8738
1501908141,8769,8769
1501909661,8803,8803
1501911741,8873,8873
1501912576,8915,8915
1501914638,8878,8878
1501915347,8892,8892
1501917254,8950,8950
1501918233,8956,8956
1501919122,9019,9019
1501919773,9077,9077
1501920629,9069,9069
1501921508,9103,9103
1501922539,9089,9089
1501924232,9138,9138
1501925106,9190,9190
1501926134,9114,9114
1501926973,9213,9213
1501928057,9211,9211
1501929017,9186,9186
1501929748,9200,9200
1501931423,9251,9251
1501933514,9302,9302
1501935028,9363,9363
1501936093,9407,9407
1501936946,9404,9404
1501938625,9455,9455
1501939525,9491,9491
1501940417,9514,9514
1501941381,9553,9553
1501942227,9564,9564
1501943312,9611,9611
1501945254,9634,9634
1501946115,9680,9680
1501947031,9692,9692
1501947742,9722,9722
1501948573,9765,9765
1501949420,9782,9782
1501949653,9797,9797
1501951215,9808,9808
1501953253,9866,9866
1501954226,9846,9846
1501954946,9864,9864
1501955777,9913,9913
1501956626,9928,9928
1501957520,9969,9969
1501958716,10003,10003
1501960042,10010,10010
1501961436,10024,10024
1501962319,10056,10056
1501963659,10095,10095
1501967101,10126,10126
1501968015,10173,10173
1501968915,10142,10142
1501971259,10179,10179
