DateTime,AddedIPs,RemovedIPs
1501005701,8,14
1501007571,9,12
1501011637,7,39
1501015471,12,29
1501017405,12,0
1501019326,12,12
1501021347,10,8
1501023699,9,7
1501025556,4,19
1501027475,8,0
1501029373,10,10
1501031301,16,10
1501033223,5,12
1501035149,15,22
1501037060,20,6
1501039004,11,0
1501040924,7,7
1501042850,13,18
1501044772,10,0
1501046663,14,26
1501048596,18,0
1501050512,11,19
1501052491,6,17
1501054345,12,0
1501056522,10,23
1501058424,5,19
1501060614,6,9
1501062511,8,0
1501064458,10,9
1501066363,8,13
1501068274,15,16
1501070176,16,13
1501072371,6,9
1501074275,4,12
1501076203,5,8
1501078125,5,10
1501080049,7,6
1501082214,9,7
1501087956,9,18
1501089867,14,10
1501092142,4,17
1501093955,2,8
1501095878,5,16
1501097784,13,0
1501099699,3,12
1501101623,15,15
1501103811,16,14
1501105720,14,14
1501107708,5,15
1501110155,5,13
1501112179,7,10
1501114106,6,9
1501116015,8,8
1501117949,12,9
1501119861,13,16
1501121790,15,9
1501123699,8,12
1501125876,8,0
1501127788,5,7
1501129707,11,9
1501131649,7,0
1501133536,11,11
1501135473,10,9
1501137390,8,0
1501139308,6,14
1501141224,7,11
1501143151,13,17
1501145068,13,18
1501147006,12,15
1501148892,9,15
1501150832,12,6
1501152737,5,7
1501154906,13,0
1501156906,8,3
1501158755,10,7
1501160673,10,8
1501162587,8,10
1501164509,8,15
1501166669,13,9
1501168605,7,12
1501170516,15,14
1501172438,7,11
1501174365,12,0
1501176262,13,7
1501178183,5,12
1501180356,7,13
1501182274,7,10
1501184192,10,13
1501186116,5,9
1501188034,7,13
1501189954,13,12
1501191860,8,8
1501194075,17,17
1501195941,6,0
1501197859,9,10
1501199789,14,11
1501201709,8,8
1501203653,7,13
1501205531,3,11
1501207332,15,14
1501209157,9,9
1501211075,15,8
1501212997,9,9
1501214925,11,12
1501216838,16,0
1501218761,11,0
1501220660,12,0
1501222608,5,15
1501224511,12,15
1501226444,11,12
1501228354,5,17
1501230267,17,15
1501232192,9,0
1501234115,12,17
1501236120,7,15
1501237946,12,14
1501240123,5,9
1501244205,6,29
1501246111,14,13
1501248038,7,0
1501252112,16,7
1501254096,12,10
1501255957,24,15
1501257877,19,0
1501259784,19,0
1501261705,17,5
1501263637,8,5
1501265693,8,6
1501267958,6,5
1501269849,20,5
1501271794,12,10
1501273706,16,14
1501275665,11,3
1501277558,8,14
1501279489,11,6
1501281382,13,13
1501283313,11,9
1501285225,13,6
1501287150,9,8
1501289061,11,13
1501291001,10,12
1501292913,5,15
1501294829,15,0
1501296749,10,9
1501298661,7,17
1501300580,11,0
1501302501,4,0
1501304493,13,13
1501306349,9,15
1501308511,6,13
1501310434,8,11
1501312362,13,14
1501314264,3,8
1501316199,10,15
1501318105,8,14
1501320013,17,0
1501321939,11,8
1501323849,8,10
1501325779,12,0
1501329752,10,15
1501331564,11,11
1501333469,14,4
1501335404,10,7
1501337304,8,8
1501339225,4,14
1501341411,15,8
1501343312,11,12
1501345247,7,9
1501347168,9,10
1501349066,5,14
1501350985,11,10
1501352902,9,15
1501354911,8,0
1501357249,9,7
1501359156,9,0
1501361064,8,7
1501362983,14,0
1501364906,14,15
1501366957,5,14
1501368994,4,8
1501372672,6,13
1501374502,10,0
1501376520,14,9
1501378363,5,11
1501380283,7,5
1501382199,12,11
1501384134,9,10
1501386271,7,29
1501388187,8,0
1501390126,13,9
1501392055,9,24
1501393962,12,0
1501395919,11,16
1501397787,9,0
1501399736,10,0
1501401671,10,19
1501403546,4,12
1501405475,9,14
1501407646,10,5
1501409560,9,12
1501411472,5,9
1501413410,15,0
1501415326,10,3
1501417237,16,10
