DateTime,AddedIPs,RemovedIPs
1501064458,34,37
1501066363,23,36
1501068274,45,25
1501070176,44,44
1501072371,29,43
1501074275,20,29
1501076203,19,24
1501078125,26,17
1501080049,22,24
1501082214,38,22
1501087956,19,43
1501089867,36,21
1501092142,20,36
1501093955,16,17
1501095878,35,14
1501097784,33,37
1501099699,25,29
1501101623,36,28
1501103811,45,34
1501105720,46,41
1501107708,32,46
1501110155,27,38
1501112179,35,26
1501114106,27,35
1501116015,24,27
1501117949,47,23
1501119861,37,43
1501121790,57,40
1501123699,41,54
1501125876,30,40
1501127788,42,30
1501129707,44,44
1501131649,21,44
1501133536,42,22
1501135473,30,40
1501137390,41,30
1501139308,23,42
1501141224,20,23
1501143151,35,20
1501145068,41,33
1501147006,47,46
1501148892,45,42
1501150832,38,49
1501152737,18,41
1501154906,40,19
1501156906,48,37
1501158755,36,46
1501160673,33,42
1501162587,36,31
1501164509,29,33
1501166669,41,31
1501168605,41,40
1501170516,33,40
1501172438,32,34
1501174365,34,32
1501176262,44,38
1501178183,32,36
1501180356,41,35
1501182274,34,39
1501184192,34,36
1501186116,23,34
1501188034,36,25
1501189954,47,31
1501191860,50,49
1501194075,55,49
1501195941,44,60
1501197859,49,41
1501199789,49,46
1501201709,51,51
1501203653,34,47
1501205531,44,37
1501207332,52,45
1501209157,49,52
1501211075,42,48
1501212997,49,43
1501214925,52,46
1501216838,62,54
1501218761,42,62
1501220660,43,40
1501222608,43,41
1501224511,47,44
1501226444,45,50
1501228354,21,46
1501230267,47,21
1501232192,31,47
1501234115,41,31
1501236120,42,40
1501237946,49,44
1501240123,34,43
1501244205,40,39
1501246111,54,38
1501248038,42,55
1501252112,42,43
1501254096,47,44
1501255957,59,44
1501257877,46,61
1501259784,54,49
1501261705,47,52
1501263637,44,44
1501265693,48,45
1501267958,24,51
1501269849,56,24
1501271794,37,54
1501273706,43,37
1501275665,49,41
1501277558,38,46
1501279489,44,43
1501281382,35,38
1501283313,44,37
1501285225,50,44
1501287150,43,50
1501289061,52,46
1501291001,49,50
1501292913,46,52
1501294829,50,45
1501296749,51,49
1501298661,52,49
1501300580,44,54
1501302501,44,45
1501304493,41,44
1501306349,53,45
1501308511,35,45
1501310434,45,41
1501312362,38,44
1501314264,27,35
1501316199,38,33
1501318105,48,39
1501320013,38,46
1501321939,54,39
1501323849,37,54
1501325779,49,37
1501329752,39,49
1501331564,42,39
1501333469,45,40
1501335404,53,48
1501337304,44,47
1501339225,21,48
1501341411,51,23
1501343312,42,48
1501345247,48,39
1501347168,32,47
1501349066,35,36
1501350985,60,36
1501352902,46,56
1501354911,46,51
1501357249,52,44
1501359156,48,48
1501361064,37,51
1501362983,52,38
1501364906,47,50
1501366957,39,47
1501368994,31,41
1501372672,39,34
1501374502,50,35
1501376520,43,45
1501378363,36,48
