DateTime,Entries,UniqueIPs
1501613324,2477,2477
1501614282,2480,2480
1501615226,2482,2482
1501616218,2480,2480
1501617146,2471,2471
1501618114,2477,2477
1501619062,2482,2482
1501620018,2484,2484
1501620990,2489,2489
1501621969,2487,2487
1501622924,2494,2494
1501623877,2501,2501
1501624909,2513,2513
1501626029,2513,2513
1501626988,2520,2520
1501627944,2525,2525
1501628920,2533,2533
1501629861,2539,2539
1501630829,2539,2539
1501631812,2544,2544
1501632788,2546,2546
1501633723,2547,2547
1501634663,2545,2545
1501635689,2547,2547
1501636622,2544,2544
1501637553,2535,2535
1501638530,2537,2537
1501639488,2538,2538
1501640460,2539,2539
1501641402,2545,2545
1501642348,2551,2551
1501643320,2550,2550
1501644285,2557,2557
1501645229,2586,2586
1501646201,2594,2594
1501647160,2598,2598
1501648121,2581,2581
1501649061,2588,2588
1501650122,2584,2584
1501651216,2580,2580
1501652202,2576,2576
1501653151,2587,2587
1501654111,2592,2592
1501655062,2600,2600
1501656055,2603,2603
1501657002,2601,2601
1501657954,2592,2592
1501658931,2600,2600
1501659866,2597,2597
1501660930,2595,2595
1501661904,2582,2582
1501663000,2565,2565
1501663946,2574,2574
1501664916,2570,2570
1501665861,2569,2569
1501666830,2572,2572
1501667808,2571,2571
1501668762,2573,2573
1501669720,2570,2570
1501670665,2568,2568
1501671689,2586,2586
1501672607,2580,2580
1501673554,2569,2569
1501674528,2566,2566
1501675485,2561,2561
1501676435,2557,2557
1501677401,2552,2552
1501678357,2550,2550
1501679359,2552,2552
1501680261,2545,2545
1501681227,2534,2534
1501682212,2522,2522
1501683184,2532,2532
1501684123,2540,2540
1501685063,2540,2540
1501686109,2532,2532
1501687021,2530,2530
1501687970,2532,2532
1501688923,2535,2535
1501689884,2532,2532
1501690859,2530,2530
1501691801,2523,2523
1501692749,2523,2523
1501693723,2528,2528
1501694684,2532,2532
1501696155,2533,2533
1501697072,2525,2525
1501698061,2524,2524
1501699248,2538,2538
1501700196,2546,2546
1501701172,2547,2547
1501702102,2552,2552
1501703082,2561,2561
1501704072,2573,2573
1501704985,2575,2575
1501705978,2584,2584
1501706904,2579,2579
1501708141,2593,2593
1501709061,2589,2589
1501710056,2594,2594
1501711014,2590,2590
1501711968,2596,2596
1501712921,2606,2606
1501713879,2599,2599
1501714892,2594,2594
1501716026,2592,2592
1501717264,2587,2587
1501718185,2572,2572
1501719191,2572,2572
1501720122,2578,2578
1501721080,2565,2565
1501722107,2563,2563
1501723013,2571,2571
1501723974,2577,2577
1501724920,2573,2573
1501725901,2586,2586
1501726865,2575,2575
1501727788,2567,2567
1501728788,2550,2550
1501729695,2558,2558
1501730659,2547,2547
1501731650,2529,2529
1501732620,2522,2522
1501733592,2516,2516
1501734515,2523,2523
1501735467,2512,2512
1501736578,2519,2519
1501737617,2520,2520
1501738593,2524,2524
1501739563,2518,2518
1501740777,2515,2515
1501741726,2507,2507
1501742677,2499,2499
1501743667,2496,2496
1501744595,2497,2497
1501745548,2495,2495
1501746531,2492,2492
1501747488,2490,2490
1501748433,2490,2490
1501749412,2487,2487
1501750353,2482,2482
1501751325,2478,2478
1501752276,2481,2481
1501753230,2485,2485
1501754220,2490,2490
1501755151,2491,2491
1501756128,2499,2499
1501757066,2505,2505
1501758106,2496,2496
1501759216,2499,2499
1501760202,2491,2491
1501761145,2492,2492
1501762112,2480,2480
1501763061,2481,2481
1501764027,2481,2481
1501764984,2475,2475
1501765983,2477,2477
1501766903,2477,2477
1501767861,2477,2477
1501768870,2479,2479
1501769805,2481,2481
1501770755,2487,2487
1501771737,2482,2482
1501772671,2479,2479
1501773634,2483,2483
1501774612,2481,2481
1501775551,2481,2481
1501776496,2473,2473
1501777463,2466,2466
1501778416,2456,2456
1501779714,2453,2453
1501780841,2448,2448
1501781784,2446,2446
1501782766,2442,2442
1501783868,2441,2441
1501784903,2432,2432
1501785855,2413,2413
1501786883,2397,2397
1501787815,2382,2382
1501788769,2383,2383
1501789707,2391,2391
1501790927,2378,2378
1501791878,2379,2379
1501792847,2376,2376
1501793796,2372,2372
1501794753,2366,2366
1501795723,2360,2360
1501796685,2357,2357
1501797703,2359,2359
1501798616,2355,2355
1501799571,2364,2364
1501800524,2372,2372
1501801473,2373,2373
1501802425,2369,2369
