DateTime,Entries,UniqueIPs
1501754213,4922,4949
1501755149,4908,4935
1501756126,4903,4930
1501757064,4889,4916
1501758104,4892,4919
1501759214,4887,4914
1501760200,4874,4901
1501761143,4882,4909
1501762110,4878,4905
1501763059,4876,4903
1501764025,4879,4906
1501764982,4870,4897
1501765980,4858,4885
1501766901,4863,4890
1501767859,4860,4887
1501768868,4853,4880
1501769803,4846,4873
1501770753,4846,4873
1501771735,4844,4871
1501772669,4842,4869
1501773632,4824,4851
1501774610,4820,4847
1501775545,4817,4844
1501776495,4818,4845
1501777461,4817,4844
1501778413,4815,4841
1501779712,4807,4834
1501780840,4785,4812
1501781781,4787,4814
1501782764,4791,4818
1501783837,4785,4812
1501784901,4786,4813
1501785852,4786,4813
1501786869,4791,4818
1501787813,4786,4813
1501788767,4789,4816
1501789705,4783,4810
1501790924,4777,4804
1501791876,4778,4805
1501792845,4773,4800
1501793794,4781,4808
1501794751,4786,4813
1501795721,4783,4810
1501796682,4786,4813
1501797701,4781,4808
1501798614,4783,4810
1501799569,4788,4815
1501800522,4785,4812
1501801471,4785,4812
1501802423,4777,4804
1501803411,4782,4809
1501804361,4786,4813
1501805318,4786,4813
1501806280,4789,4816
1501807247,4794,4821
1501808191,4800,4827
1501809166,4799,4826
1501810101,4806,4833
1501811070,4810,4837
1501812086,4820,4847
1501813011,4816,4843
1501813948,4813,4840
1501814937,4805,4832
1501815871,4810,4837
1501816828,4809,4836
1501817837,4806,4833
1501818743,4813,4840
1501819729,4807,4834
1501820668,4800,4827
1501821625,4787,4814
1501822608,4784,4811
1501823546,4773,4800
1501824519,4759,4786
1501825470,4752,4779
1501826499,4765,4793
1501827401,4766,4794
1501828347,4772,4800
1501829326,4756,4784
1501830280,4761,4789
1501831225,4763,4791
1501832199,4762,4790
1501833154,4765,4793
1501834142,4766,4794
1501835062,4766,4794
1501836045,4766,4794
1501836997,4761,4789
1501837979,4764,4792
1501838918,4771,4799
1501839863,4766,4794
1501840908,4763,4791
1501841822,4763,4791
1501842747,4766,4794
1501843721,4767,4795
1501844924,4769,4797
1501845864,4769,4797
1501846835,4770,4798
1501847801,4770,4798
1501848770,4766,4794
1501849705,4765,4793
1501850675,4762,4790
1501851671,4755,4783
1501852588,4751,4779
1501853575,4752,4780
1501854505,4751,4779
1501855467,4747,4775
1501856453,4746,4774
1501857385,4747,4775
1501858360,4747,4775
1501859311,4753,4781
1501860261,4748,4776
1501861236,4753,4781
1501862199,4730,4758
1501863151,4738,4766
1501864129,4713,4739
1501865062,4718,4744
1501866101,4690,4716
1501867019,4675,4701
1501867963,4671,4697
1501868919,4673,4699
1501869870,4670,4696
1501870828,4668,4694
1501871810,4669,4695
1501872749,4663,4689
1501873715,4661,4687
1501874676,4659,4685
1501875641,4659,4685
1501876601,4656,4682
1501877557,4655,4681
1501878521,4656,4682
1501879460,4651,4677
1501880512,4654,4680
1501881613,4645,4671
1501882583,4643,4669
1501883551,4637,4663
1501884548,4625,4651
1501885460,4620,4646
1501886444,4612,4638
1501887397,4607,4633
1501888376,4605,4631
1501889318,4607,4633
1501890273,4606,4632
1501891292,4611,4637
1501892220,4614,4640
1501893147,4616,4642
1501894137,4614,4640
1501895069,4610,4636
1501896052,4610,4636
1501897010,4604,4630
1501897956,4606,4632
1501898922,4601,4626
1501899869,4608,4633
1501900841,4594,4619
1501901812,4597,4622
1501902753,4590,4615
1501903726,4594,4619
1501904660,4594,4619
1501905679,4595,4620
1501906604,4591,4616
1501907571,4588,4613
1501908522,4587,4612
1501909473,4581,4607
1501910429,4586,4612
1501911415,4578,4604
1501912342,4584,4610
1501913327,4588,4614
1501914269,4593,4619
1501915241,4597,4623
1501916219,4604,4630
1501917153,4613,4639
1501918118,4623,4649
1501919065,4627,4653
1501920039,4632,4658
1501920993,4626,4652
1501921941,4628,4654
1501922914,4624,4650
1501923874,4624,4650
1501924842,4618,4644
1501925801,4612,4638
1501926744,4610,4636
1501927734,4607,4633
1501928686,4604,4630
1501929646,4591,4616
1501930612,4583,4608
1501931550,4577,4602
1501932539,4577,4602
1501933465,4569,4594
1501934494,4569,4594
1501935405,4565,4590
1501936364,4561,4586
1501937321,4564,4589
1501938272,4565,4590
1501939225,4569,4594
1501940198,4572,4597
1501941158,4577,4602
1501942127,4576,4601
1501943062,4581,4606
1501944028,4584,4609
1501945009,4588,4613
1501945950,4589,4614
1501946914,4590,4615
1501947874,4583,4608
1501948923,4583,4608
1501950038,4573,4598
1501950982,4571,4596
1501951955,4555,4580
1501952920,4548,4573
1501953859,4550,4575
1501954841,4548,4573
1501955792,4547,4572
1501956764,4540,4565
1501957703,4547,4573
1501958672,4517,4535
1501959651,4523,4541
1501960576,4497,4515
1501961562,4493,4511
1501962506,4489,4507
1501963500,4494,4512
1501964425,4488,4506
1501965417,4490,4508
1501966341,4494,4512
1501967325,4467,4485
1501968277,4462,4480
1501969229,4455,4473
1501970205,4456,4474
1501971577,4453,4471
1501972588,4453,4471
1501973531,4450,4468
1501974516,4443,4462
1501975462,4439,4457
1501976685,4450,4468
1501977654,4455,4473
1501978603,4456,4474
1501979565,4463,4481
1501980510,4461,4479
1501981484,4460,4477
1501982441,4447,4464
1501983403,4446,4463
1501984346,4445,4462
1501985330,4440,4457
1501986267,4438,4455
1501987238,4428,4445
1501988183,4427,4444
1501989166,4413,4430
1501990120,4414,4431
1501991061,4405,4422
1501992062,4390,4407
1501993009,4375,4392
1501993957,4374,4391
1501994908,4357,4374
1501995883,4355,4372
1501996830,4338,4354
1501997806,4317,4333
1501998758,4302,4318
1501999731,4306,4322
1502000669,4304,4320
1502001637,4298,4314
1502002608,4292,4308
1502003552,4274,4290
1502004521,4275,4291
1502005463,4268,4283
1502006534,4262,4277
1502007626,4259,4274
1502008581,4260,4275
1502009541,4261,4276
1502010491,4268,4283
1502011724,4268,4283
1502012665,4265,4280
1502013705,4260,4275
1502014836,4266,4281
1502015786,4269,4284
1502016755,4260,4275
1502017714,4270,4285
1502018675,4260,4275
1502019626,4265,4280
1502020586,4270,4285
1502021579,4267,4281
1502022513,4272,4286
1502023460,4275,4289
1502024497,4271,4285
1502025403,4260,4274
1502026348,4266,4280
1502027329,4260,4274
1502028270,4256,4270
1502029227,4268,4282
1502030462,4249,4263
1502031720,4257,4271
1502032828,4261,4275
1502033792,4266,4280
1502034745,4268,4282
1502035711,4266,4280
1502036663,4269,4283
1502037636,4271,4285
1502038595,4277,4291
1502039558,4268,4282
1502040502,4271,4286
1502041459,4270,4285
1502042496,4271,4286
1502043407,4287,4303
1502044349,4297,4314
1502045319,4288,4305
1502046271,4293,4310
1502047231,4297,4314
1502048182,4299,4316
1502049168,4293,4310
1502050634,4293,4310
1502051567,4303,4320
1502052508,4303,4320
1502053496,4318,4335
1502054437,4317,4334
1502055388,4333,4350
1502056362,4337,4354
1502057333,4340,4357
1502058262,4352,4369
1502059231,4351,4368
1502060204,4357,4374
1502061169,4362,4379
1502062114,4361,4378
1502063070,4367,4384
1502064122,4379,4396
1502065225,4372,4389
1502066190,4365,4382
1502067140,4361,4378
1502068093,4374,4391
1502069059,4376,4393
1502070035,4377,4394
1502070983,4386,4403
1502071967,4389,4406
1502072902,4391,4408
1502073866,4386,4403
1502074929,4395,4412
1502076026,4390,4407
1502076982,4395,4412
1502077934,4416,4433
1502078911,4430,4447
1502079855,4434,4451
1502080821,4429,4446
1502081790,4447,4464
1502083235,4444,4461
1502084186,4462,4480
1502085156,4481,4499
1502086092,4473,4491
1502087057,4479,4497
1502088039,4485,4503
1502088992,4482,4500
1502089958,4479,4497
1502090910,4487,4505
1502091867,4485,4503
1502092897,4492,4510
1502094026,4487,4505
1502094979,4492,4510
1502095931,4486,4504
1502096923,4480,4498
1502097862,4477,4495
1502098843,4471,4489
1502099792,4475,4493
1502100758,4475,4493
1502101713,4479,4497
1502102674,4478,4496
1502103677,4499,4517
1502104605,4501,4519
1502105571,4514,4532
1502106507,4516,4534
1502107481,4519,4537
1502108446,4518,4536
1502109397,4522,4540
1502110354,4519,4537
1502111321,4518,4536
1502112259,4528,4546
1502113232,4521,4539
1502114196,4526,4544
1502115169,4530,4548
1502116104,4530,4548
1502117075,4526,4544
1502118065,4533,4551
1502118991,4534,4552
1502119960,4540,4558
1502120904,4541,4559
1502121875,4539,4557
1502122842,4538,4556
1502123810,4534,4552
1502124754,4542,4560
1502125722,4539,4557
1502126669,4540,4558
1502127624,4539,4557
1502128606,4548,4566
1502129810,4539,4557
1502130751,4541,4559
1502131707,4548,4566
1502132682,4549,4567
1502133625,4548,4566
1502134583,4545,4563
1502136195,4551,4569
1502137236,4546,4564
1502138191,4548,4566
1502139165,4554,4572
1502140127,4557,4575
1502141048,4560,4578
1502142046,4572,4590
1502142998,4583,4601
1502144378,4584,4602
1502145382,4593,4611
1502146331,4598,4616
1502147314,4591,4609
1502148263,4600,4618
1502149239,4596,4614
1502150198,4599,4617
1502152118,4602,4620
1502153069,4603,4621
1502154084,4611,4629
1502155001,4607,4625
1502155951,4610,4628
1502156914,4601,4619
1502157886,4608,4626
1502158824,4598,4616
1502159796,4595,4613
1502160754,4604,4622
1502161744,4595,4613
1502162660,4594,4612
1502163629,4598,4616
1502164597,4595,4613
1502165564,4588,4606
1502166517,4583,4601
1502167476,4588,4606
1502168489,4589,4607
1502169398,4594,4612
1502170362,4595,4613
1502171305,4589,4607
1502172283,4592,4610
1502173229,4590,4608
1502174196,4595,4612
1502175199,4598,4615
1502176128,4593,4610
1502177066,4590,4607
1502178025,4584,4601
1502179006,4577,4594
1502179953,4578,4595
1502180905,4574,4591
1502181873,4572,4589
1502182897,4570,4587
1502184037,4560,4577
1502184999,4557,4574
1502185943,4562,4579
1502186928,4564,4581
1502187874,4557,4574
1502188840,4562,4579
1502189803,4561,4578
1502190754,4555,4572
1502191701,4555,4572
1502192673,4545,4562
1502193717,4552,4569
1502194849,4548,4565
1502195783,4549,4566
1502196758,4556,4574
1502197701,4558,4576
1502198649,4565,4583
1502199627,4563,4581
1502200582,4561,4579
1502201558,4561,4579
1502202512,4565,4583
1502203475,4557,4575
1502204468,4554,4572
1502205393,4548,4566
1502206346,4551,4569
1502207305,4553,4573
1502208272,4553,4573
1502209250,4550,4570
1502210700,4544,4564
1502211715,4546,4566
1502212829,4545,4565
1502213787,4545,4565
1502214761,4546,4566
1502215809,4550,4570
1502216889,4547,4567
1502217858,4548,4567
1502219113,4544,4563
1502220272,4548,4567
1502221227,4537,4556
1502222202,4541,4560
1502223159,4540,4559
1502224109,4535,4554
1502225064,4532,4551
1502226127,4535,4554
1502227225,4531,4550
1502228191,4532,4551
1502229129,4530,4549
1502230100,4530,4549
1502231007,4532,4551
1502232015,4541,4560
1502232984,4538,4557
1502233945,4542,4561
1502234900,4545,4564
1502235848,4541,4560
1502236905,4542,4561
1502238026,4543,4562
1502238989,4544,4563
1502239967,4542,4561
1502240932,4545,4564
1502241860,4545,4564
1502242841,4549,4568
1502243791,4553,4572
