DateTime,AddedIPs,RemovedIPs
1501614280,8,8
1501615224,10,3
1501616216,3,0
1501617143,4,15
1501618112,4,1
1501619060,5,6
1501620016,5,6
1501620988,9,6
1501621967,2,1
1501622922,20,9
1501623874,6,5
1501624907,21,6
1501626027,12,3
1501626986,7,3
1501627929,11,0
1501628918,8,3
1501629859,8,4
1501630827,4,5
1501631810,12,8
1501632785,6,4
1501633721,10,7
1501634661,4,5
1501635679,7,9
1501636619,3,5
1501637551,8,4
1501638528,5,2
1501639486,4,5
1501640458,4,7
1501641400,6,6
1501642345,14,11
1501643319,1,2
1501644283,20,13
1501645227,25,3
1501646199,18,12
1501647158,7,1
1501648120,6,14
1501649059,9,2
1501650120,10,12
1501651214,9,14
1501652197,12,11
1501653148,17,11
1501654108,12,7
1501655060,16,13
1501656053,13,15
1501656998,7,8
1501657952,3,15
1501658929,16,10
1501659864,8,11
1501660928,13,15
1501661902,2,11
1501662998,10,18
1501663944,17,3
1501664914,9,7
1501665859,7,8
1501666828,9,10
1501667805,4,8
1501668760,6,6
1501669718,9,7
1501670663,2,5
1501671687,19,9
1501672605,7,13
1501673552,10,9
1501674526,6,11
1501675482,8,12
1501676433,6,8
1501677399,6,4
1501678355,3,9
1501679357,6,5
1501680259,3,6
1501681225,2,14
1501682209,4,15
1501683182,5,3
1501684121,6,10
1501685061,4,4
1501686108,3,4
1501687019,0,2
1501687968,4,4
1501688921,3,7
1501689882,7,10
1501690857,5,7
1501691800,3,6
1501692747,5,7
1501693722,3,4
1501694682,7,5
1501696153,12,9
1501697070,1,5
1501698059,8,11
1501699246,21,3
1501700194,8,6
1501701169,8,8
1501702100,17,13
1501703079,12,1
1501704069,19,7
1501704983,15,4
1501705976,15,4
1501706902,3,3
1501708139,21,8
1501709059,6,19
1501710054,21,7
1501711012,7,10
1501711965,6,9
1501712919,19,12
1501713876,3,10
1501714890,9,11
1501716024,8,13
1501717262,4,4
1501718183,4,12
1501719188,11,3
1501720120,8,5
1501721078,2,9
1501722105,5,5
1501723011,6,2
1501723972,9,10
1501724918,8,12
1501725898,8,5
1501726863,6,16
1501727786,8,10
1501728786,8,26
1501729693,7,4
1501730656,7,20
1501731648,8,25
1501732608,9,16
1501733590,3,7
1501734513,16,8
1501735465,0,11
1501736575,10,7
1501737615,14,9
1501738591,5,5
1501739560,8,18
1501740774,7,9
1501741724,7,15
1501742675,7,10
1501743665,7,5
1501744593,6,6
1501745546,1,7
1501746529,2,8
1501747486,5,13
1501748431,7,6
1501749410,8,4
1501750351,7,7
1501751323,6,10
1501752274,9,9
1501753228,10,9
1501754213,6,4
1501755149,2,4
1501756126,12,6
1501757064,7,2
1501758104,9,17
1501759214,9,5
1501760200,0,6
1501761143,8,10
1501762110,1,7
1501763059,4,3
1501764025,7,7
1501764982,6,8
1501765980,5,4
1501766901,5,6
1501767859,1,0
1501768868,5,5
1501769803,4,4
1501770753,4,5
1501771735,4,8
1501772669,2,2
1501773632,4,3
1501774610,1,2
1501775545,8,10
1501776495,5,13
1501777461,8,6
1501778413,2,8
1501779712,8,11
1501780840,6,18
1501781781,2,3
1501782764,7,11
1501783837,4,4
1501784901,8,22
1501785852,3,21
1501786869,12,26
1501787813,2,16
1501788767,10,14
1501789705,4,3
1501790924,3,12
1501791876,7,3
1501792845,5,9
1501793794,11,10
1501794751,5,4
1501795721,6,8
1501796682,6,9
1501797701,1,4
1501798614,2,3
1501799569,9,8
1501800522,2,1
1501801471,6,4
1501802423,1,4
1501803411,6,4
1501804361,6,4
1501805318,4,3
1501806280,6,4
1501807247,6,2
1501808191,8,10
1501809166,1,3
1501810101,8,10
1501811070,4,5
1501812086,10,13
1501813011,1,4
1501813948,6,8
1501814937,3,4
1501815871,9,7
1501816828,9,6
1501817837,7,9
1501818743,11,2
1501819729,11,8
1501820668,9,17
1501821625,1,1
1501822608,11,6
1501823546,0,3
1501824519,7,11
1501825470,2,3
1501826499,16,6
1501827401,5,4
1501828347,13,3
1501829326,3,8
1501830280,9,6
1501831225,10,7
1501832199,7,2
1501833154,12,8
1501834142,10,6
1501835062,3,6
1501836045,7,13
1501836997,4,9
1501837979,3,6
1501838918,10,7
1501839863,3,4
1501840908,6,6
1501841822,7,9
1501842747,13,9
1501843721,8,1
1501844924,10,6
1501845864,6,2
1501846835,2,1
1501847801,4,4
1501848770,3,0
1501849705,8,6
1501850675,8,7
1501851671,6,5
1501852588,2,4
1501853575,5,6
1501854505,6,0
1501855467,5,3
1501856453,4,3
1501857385,3,5
1501858360,6,4
1501859311,6,6
1501860261,4,2
1501861236,5,2
1501862199,3,13
1501863151,8,7
1501864129,8,8
1501865062,5,2
1501866101,2,2
1501867019,2,2
1501867963,1,7
1501868919,2,2
1501869870,4,5
1501870828,3,4
1501871810,9,7
1501872749,3,6
1501873715,1,4
1501874676,8,11
1501875641,1,2
1501876601,5,7
1501877557,7,2
1501878521,7,7
1501879460,4,2
1501880512,4,9
1501881613,0,9
1501882583,4,5
1501883551,5,9
1501884548,0,1
1501885460,7,7
1501886444,5,2
1501887397,3,2
1501888376,4,2
1501889318,8,5
1501890273,1,1
1501891292,7,11
1501892220,7,3
1501893147,4,4
1501894137,5,4
1501895069,4,4
1501896052,9,9
1501897010,3,5
1501897956,8,11
1501898922,13,8
1501899869,11,7
1501900841,4,1
1501901812,8,11
1501902753,6,4
1501903726,13,18
1501904660,5,6
1501905679,5,14
1501906604,4,3
1501907571,6,11
1501908522,5,5
1501909473,8,8
1501910429,5,3
1501911415,4,4
1501912342,6,9
1501913327,6,4
1501914269,6,8
1501915241,4,8
1501916219,11,12
1501917153,9,9
1501918118,12,15
1501919065,4,5
1501920039,7,10
1501920993,3,5
1501921941,5,5
1501922914,7,11
1501923874,5,8
1501924842,4,11
1501925801,3,10
1501926744,6,3
1501927734,3,6
1501928686,7,6
1501929646,3,4
1501930612,5,12
1501931550,3,2
1501932539,8,3
1501933465,2,2
1501934494,13,4
1501935405,1,2
1501936364,5,10
1501937321,5,11
1501938272,3,8
1501939225,11,4
1501940198,5,1
1501941158,7,4
1501942127,4,1
1501943062,6,12
1501944028,4,3
1501945009,7,3
1501945950,2,5
1501946914,4,7
1501947874,6,1
1501948923,3,8
1501950038,3,9
1501950982,3,2
1501951955,3,5
1501952920,2,3
1501953859,6,3
1501954841,3,2
1501955792,6,4
1501956764,3,0
1501957703,8,5
1501958672,4,2
1501959651,6,2
1501960576,1,0
1501961562,11,7
1501962506,5,3
1501963500,10,6
1501965417,6,3
1501966341,7,4
1501967325,2,6
1501968277,6,1
1501969229,4,3
1501970205,7,9
1501971577,3,5
1501972588,11,5
1501973531,2,4
1501974516,8,6
1501975462,14,3
1501976685,12,6
1501977654,11,9
1501978603,4,3
1501979565,7,7
1501980510,5,8
1501981484,8,7
1501982441,5,6
1501983403,3,5
1501984346,6,5
1501985330,4,8
1501986267,7,7
1501987238,2,6
1501988183,8,10
1501989166,1,4
1501990120,6,8
1501991061,3,6
1501992062,10,4
1501993009,5,5
1501993957,8,4
1501994908,4,7
1501995883,1,4
1501996830,6,5
1501997806,3,3
1501998758,4,9
1501999731,9,4
1502000669,10,3
1502001637,1,10
1502002608,3,7
1502003552,3,5
1502004521,7,15
1502005463,5,6
1502006534,5,13
1502007626,2,1
1502008581,3,7
1502009541,7,9
1502010491,13,8
1502011724,6,3
1502012665,2,4
1502013705,2,7
1502014836,13,4
1502015786,6,2
1502016755,3,3
1502017714,10,3
1502018675,5,4
1502019626,5,2
1502020586,9,8
1502021579,5,5
1502022513,8,6
1502023460,3,3
1502024497,10,10
1502025403,2,6
1502026348,6,4
1502027329,4,2
1502028270,7,5
1502029227,12,5
1502030462,4,3
1502031720,10,19
1502032828,6,4
1502033792,8,8
1502034745,9,6
1502035711,2,2
1502036663,11,5
1502037636,4,8
1502038595,9,7
1502039558,1,5
1502040502,8,9
1502041459,6,3
1502042496,4,7
1502043407,24,0
1502044349,11,8
1502045319,0,3
1502046271,5,4
1502047231,8,3
1502048182,2,5
1502049168,9,6
1502050634,4,8
1502051567,16,8
1502052508,5,2
1502053496,17,6
1502054437,6,1
1502055388,16,5
1502056362,7,3
1502057333,9,5
1502058262,15,7
1502059231,9,2
1502060204,7,7
1502061169,11,7
1502062114,5,10
1502063070,11,15
1502064122,14,10
1502065225,2,4
1502066190,3,8
1502067140,1,2
1502068093,13,12
1502069059,8,5
1502070035,5,6
1502070983,12,10
1502071967,7,5
1502072902,8,7
1502073866,2,1
1502074929,11,10
1502076026,2,7
1502076982,7,5
1502077934,23,8
1502078911,16,3
1502079855,17,6
1502080821,6,6
1502081790,25,11
1502083235,7,10
1502084186,20,8
1502085156,23,13
1502086092,7,4
1502087057,11,11
1502088039,9,2
1502088992,4,5
1502089958,3,2
1502090910,14,8
1502091867,4,3
1502092897,10,8
1502094026,2,2
1502094979,10,10
1502095931,2,10
1502096923,5,12
1502097862,2,7
1502098843,3,6
1502099792,5,6
1502100758,7,9
1502101713,4,18
1502102674,2,2
