DateTime,Entries,UniqueIPs
1501933465,365,365
1501934494,374,374
1501935405,373,373
1501936364,368,368
1501937321,362,362
1501938272,357,357
1501939225,364,364
1501940198,368,368
1501941158,371,371
1501942127,374,374
1501943062,368,368
1501944028,369,369
1501945009,373,373
1501945950,370,370
1501946914,367,367
1501947874,372,372
1501948923,367,367
1501950038,361,361
1501950982,362,362
1501951955,360,360
1501952920,359,359
1501953859,362,362
1501954841,363,363
1501955792,365,365
1501956764,368,368
1501957703,371,371
1501958672,373,373
1501959651,377,377
1501960576,378,378
1501961562,382,382
1501962506,384,384
1501963500,388,388
1501965417,391,391
1501966341,394,394
1501967325,390,390
1501968277,395,395
1501969229,396,396
1501970205,394,394
1501971577,392,392
1501972588,398,398
1501973531,396,396
1501974516,398,398
1501975462,409,409
1501976685,415,415
1501977654,417,417
1501978603,418,418
1501979565,418,418
1501980510,415,415
1501981484,416,416
1501982441,415,415
1501983403,413,413
1501984346,414,414
1501985330,410,410
1501986267,410,410
1501987238,406,406
1501988183,404,404
1501989166,401,401
1501990120,399,399
1501991061,396,396
1501992062,402,402
1501993009,402,402
1501993957,406,406
1501994908,403,403
1501995883,400,400
1501996830,401,401
1501997806,401,401
1501998758,396,396
1501999731,401,401
1502000669,408,408
1502001637,399,399
1502002608,395,395
1502003552,393,393
1502004521,385,385
1502005463,384,384
1502006534,376,376
1502007626,377,377
1502008581,373,373
1502009541,371,371
1502010491,376,376
1502011724,379,379
1502012665,377,377
1502013705,372,372
1502014836,381,381
1502015786,385,385
1502016755,385,385
1502017714,392,392
1502018675,393,393
1502019626,396,396
1502020586,397,397
1502021579,397,397
1502022513,399,399
1502023460,399,399
1502024497,399,399
1502025403,395,395
1502026348,397,397
1502027329,399,399
1502028270,401,401
1502029227,408,408
1502030462,409,409
1502031720,400,400
1502032828,402,402
1502033792,402,402
1502034745,405,405
1502035711,405,405
1502036663,411,411
1502037636,407,407
1502038595,409,409
1502039558,405,405
1502040502,404,404
1502041459,407,407
1502042496,404,404
1502043407,428,428
1502044349,431,431
1502045319,428,428
1502046271,429,429
1502047231,434,434
1502048182,431,431
1502049168,434,434
1502050634,430,430
1502051567,438,438
1502052508,441,441
1502053496,452,452
1502054437,457,457
1502055388,468,468
1502056362,472,472
1502057333,476,476
1502058262,484,484
1502059231,491,491
1502060204,491,491
1502061169,495,495
1502062114,490,490
1502063070,486,486
1502064122,490,490
1502065225,488,488
1502066190,483,483
1502067140,482,482
1502068093,483,483
1502069059,486,486
1502070035,485,485
1502070983,487,487
1502071967,489,489
1502072902,490,490
1502073866,491,491
1502074929,492,492
1502076026,487,487
1502076982,489,489
1502077934,504,504
1502078911,517,517
1502079855,528,528
1502080821,528,528
1502081790,542,542
1502083235,539,539
1502084186,551,551
1502085156,561,561
1502086092,564,564
1502087057,564,564
1502088039,571,571
1502088992,570,570
1502089958,571,571
1502090910,577,577
1502091867,578,578
1502092897,580,580
1502094026,580,580
1502094979,580,580
1502095931,572,572
1502096923,565,565
1502097862,560,560
1502098843,557,557
1502099792,556,556
1502100758,554,554
1502101713,540,540
1502102674,540,540
1502103677,555,555
1502104605,557,557
1502105571,569,569
1502106507,566,566
1502107481,561,561
1502108446,553,553
1502109397,556,556
1502110354,555,555
1502111321,557,557
1502112259,558,558
1502113232,560,560
1502114196,557,557
1502115169,549,549
1502116104,551,551
1502117075,552,552
1502118065,555,555
1502118991,550,550
1502119960,550,550
1502120904,551,551
1502121875,544,544
1502122842,540,540
