DateTime,Entries,UniqueIPs
1499857266,378,378
1499868079,378,378
1499871668,377,377
1499875276,377,377
1499882487,377,377
1499886089,376,376
1499889680,377,377
1499893279,376,376
1499896881,374,374
1499900478,374,374
1499904077,372,372
1499907680,369,369
1499914877,368,368
1499918480,369,369
1499922073,367,367
1499925673,368,368
1499929266,369,369
1499932862,367,367
1499936492,366,366
1499940079,369,369
1499943676,367,367
1499947271,370,370
1499950872,372,372
1499954485,373,373
1499958070,373,373
1499961651,376,376
1499965276,375,375
1499968878,376,376
1499972486,374,374
1499976082,373,373
1499983286,373,373
1499986888,372,372
1499990487,375,375
1499997689,374,374
1500001294,376,376
1500004892,377,377
1500022830,374,374
1500026427,376,376
1500030091,376,376
1500033691,374,374
1500037292,373,373
1500040892,371,371
1500048092,368,368
1500051696,369,369
1500055294,370,370
1500066094,370,370
1500069691,371,371
1500073299,370,370
1500076898,369,369
1500080497,367,367
1500084092,367,367
1500087694,367,367
1500091297,366,366
1500094896,364,364
1500098494,365,365
1500102094,366,366
1500105700,365,365
1500109296,366,366
1500116493,365,365
1500120096,365,365
1500123694,366,366
1500127296,364,364
1500134489,364,364
1500138090,364,364
1500141690,365,365
1500145291,365,365
1500148889,364,364
1500152484,365,365
1500156090,366,366
1500163290,367,367
1500166892,368,368
1500170492,368,368
1500174091,367,367
1500177690,366,366
1500181290,367,367
1500184892,366,366
1500188491,365,365
1500195689,367,367
1500199294,368,368
1500206491,367,367
1500210092,367,367
1500217289,364,364
1500220891,362,362
1500224487,361,361
1500231690,361,361
1500238891,360,360
1500242490,361,361
1500246094,363,363
1500249691,364,364
1500253297,365,365
1500256896,365,365
1500260499,368,368
1500264097,369,369
1500267701,368,368
1500271294,366,366
1500274899,365,365
1500278493,366,366
1500282091,367,367
1500285691,365,365
1500289292,367,367
1500296493,370,370
1500303694,370,370
1500307299,369,369
1500310892,370,370
1500314493,369,369
1500318093,370,370
1500332494,372,372
1500336094,372,372
1500339698,373,373
1500343293,373,373
1500346895,372,372
1500350495,372,372
1500354095,370,370
1500361294,369,369
1500372092,352,352
1500379297,351,351
1500382891,350,350
1500386491,350,350
1500397291,347,347
1500400894,347,347
1500404492,347,347
1500408095,350,350
1500411695,351,351
1500415296,352,352
1500418894,350,350
1500422496,351,351
1500426097,350,350
1500433295,352,352
1500444091,354,354
1500447694,358,358
1500451294,361,361
1500454894,359,359
1500458492,361,361
1500462094,363,363
1500472895,362,362
1500476491,360,360
1500480094,359,359
1500483694,360,360
1500487293,361,361
1500490894,363,363
1500494492,363,363
1500498093,363,363
1500501694,362,362
1500505299,364,364
1500508891,362,362
1500516098,363,363
1500526898,364,364
1500537692,366,366
1500541295,364,364
1500548495,366,366
1500552093,365,365
1500555691,364,364
1500559292,362,362
1500562897,361,361
1500566492,358,358
1500570091,364,364
1500573692,365,365
1500577292,364,364
1500580891,364,364
1500584491,363,363
1500588093,361,361
1500591692,360,360
1500595294,359,359
1500598893,361,361
1500602494,360,360
1500606094,360,360
1500609694,361,361
1500613292,362,362
1500620496,361,361
1500627695,360,360
1500631296,362,362
1500642092,362,362
1500649291,361,361
1500652891,360,360
1500656490,360,360
1500660090,359,359
1500663692,359,359
1500667292,359,359
1500670891,362,362
1500674491,361,361
1500678089,362,362
1500681691,360,360
1500685292,359,359
1500692491,361,361
1500699689,360,360
1500703290,359,359
1500706891,358,358
1500710490,357,357
1500714090,358,358
1500717693,360,360
1500724888,361,361
1500732091,361,361
1500735693,362,362
1500742894,363,363
1500746491,365,365
1500753691,366,366
1500757294,366,366
1500760895,365,365
1500768093,367,367
1500771695,369,369
1500775293,371,371
1500778896,371,371
1500782493,372,372
1500786093,373,373
1500789694,372,372
1500793298,373,373
1500800449,372,372
1500804048,371,371
1500807658,371,371
1500811241,371,371
1500814876,370,370
1500822100,369,369
1500825698,372,372
1500832891,372,372
1500836497,374,374
1500840097,375,375
1500843696,373,373
1500847296,374,374
1500850892,374,374
1500854491,373,373
1500858093,376,376
1500861692,375,375
1500865291,376,376
1500872491,376,376
1500879685,375,375
1500883289,374,374
1500886888,372,372
1500890487,369,369
1500894084,370,370
1500897686,370,370
1500901285,369,369
1500904878,370,370
1500908483,368,368
1500912071,369,369
1500915682,369,369
1500922872,367,367
1500926484,367,367
1500933666,365,365
1500937260,365,365
1500940878,363,363
1500944484,364,364
1500948083,366,366
1500951689,369,369
1500958890,368,368
1500962491,367,367
1500973286,367,367
1500980491,368,368
1500984092,367,367
1500987692,365,365
1500991290,366,366
1500994892,366,366
1500998490,368,368
1501002090,369,369
1501005693,368,368
1501009292,368,368
1501012892,367,367
1501016491,369,369
1501020090,367,367
1501027291,366,366
1501030891,363,363
1501034488,363,363
1501038092,363,363
1501045291,361,361
1501056089,360,360
1501063288,361,361
1501066889,360,360
1501070491,361,361
1501074092,360,360
1501077689,357,357
1501081289,356,356
1501084890,355,355
1501088491,353,353
1501092092,349,349
1501106490,349,349
1501113691,350,350
1501117292,348,348
1501120888,357,357
1501124487,368,368
1501128091,369,369
1501131690,368,368
1501135288,369,369
1501142492,370,370
1501146089,369,369
1501149688,368,368
1501153285,369,369
1501160488,371,371
1501164087,373,373
1501167687,374,374
1501171287,375,375
1501174888,375,375
1501185689,374,374
1501189289,375,375
1501192890,375,375
1501196489,375,375
1501200087,376,376
1501203689,377,377
1501210892,385,385
1501218095,385,385
1501221695,386,386
1501228896,387,387
1501236094,386,386
1501239693,385,385
1501246893,386,386
1501250495,385,385
1501257696,386,386
1501261296,387,387
