DateTime,AddedIPs,RemovedIPs
1501093814,162,0
1501094111,173,0
1501094412,194,0
1501094712,174,0
1501095012,179,0
1501095311,185,0
1501095611,189,0
1501095913,182,0
1501096212,194,0
1501096511,174,0
1501096811,188,0
1501097117,179,0
1501097412,187,0
1501097713,184,0
1501098011,180,0
1501098312,247,0
1501098612,254,0
1501098912,264,0
1501099211,258,0
1501099512,260,0
1501099812,252,0
1501100112,260,0
1501100411,257,0
1501100719,257,0
1501101012,257,0
1501101312,253,0
1501101611,257,0
1501101912,257,0
1501102212,258,0
1501102811,512,0
1501103112,260,0
1501103711,514,0
1501104013,266,0
1501104611,563,0
1501104912,270,0
1501105212,242,0
1501105513,305,0
1501105812,307,0
1501106112,301,0
1501106713,489,0
1501107313,125,0
1501107612,331,0
1501107912,331,0
1501108512,616,0
1501108812,306,0
1501109412,597,0
1501110012,605,0
1501110313,317,0
1501110612,334,0
1501110912,303,0
1501111212,328,0
1501111517,328,0
1501111812,320,0
1501112111,331,0
1501112411,326,0
1501112712,327,0
1501113012,320,1
1501113313,329,0
1501113612,324,1
1501113912,317,0
1501114213,332,0
1501114511,329,0
1501114812,261,0
1501115114,251,0
1501115412,277,0
1501115712,300,0
1501116012,312,0
1501116312,319,0
1501116612,317,0
1501116912,323,0
1501117212,324,0
1501117512,330,0
1501117812,323,0
1501118412,639,0
1501118718,308,0
1501119013,324,0
1501119312,285,0
1501119612,300,0
1501120213,602,0
1501120512,295,0
1501120812,332,0
1501121112,316,0
1501121413,293,1
1501121712,298,0
1501122011,283,0
1501122313,296,0
1501122912,578,0
1501123212,277,0
1501123513,283,0
1501123812,281,0
1501124411,568,0
1501124712,285,0
1501125311,581,0
1501125612,288,0
1501126212,575,0
1501126812,564,0
1501127111,291,0
1501127412,288,0
1501127712,277,0
1501128313,579,0
1501128612,273,0
1501128912,282,0
1501129212,306,0
1501129519,285,0
1501130112,509,0
1501130412,293,1
1501131011,563,0
1501131311,279,0
1501131611,298,0
1501131912,284,0
1501132212,294,0
1501132512,293,0
1501132811,284,0
1501133121,275,0
1501133412,289,0
1501134012,577,0
1501134313,295,0
1501134613,296,0
1501134911,286,0
1501135212,294,0
1501135811,541,0
1501136112,242,0
1501136412,290,0
1501136716,292,0
1501137013,292,0
1501137311,294,0
1501137912,584,1
1501138212,294,0
1501138512,297,0
1501138812,299,0
1501139412,586,0
1501139713,300,0
1501140013,291,1
1501140316,298,0
1501140612,299,0
1501140912,302,0
1501141211,295,0
1501141512,296,0
1501141814,307,0
1501142112,306,0
1501142412,322,0
1501142712,311,0
1501143012,305,0
1501143612,618,0
1501143912,298,0
1501144512,603,0
1501144812,320,0
1501145412,619,0
1501146012,616,0
1501146311,256,0
1501146912,629,0
1501147212,321,0
1501147511,328,0
1501147812,319,0
1501148112,319,0
1501148412,333,0
1501148712,322,0
1501149011,329,0
1501149312,326,0
1501149612,322,0
1501149912,329,0
1501150212,318,0
1501150512,317,0
1501150812,321,0
1501151117,319,0
1501151413,325,0
1501152012,624,0
1501152312,317,0
1501152613,316,0
1501152912,310,0
1501153212,321,0
1501153513,304,0
1501153812,325,0
1501154413,633,0
1501154713,325,0
1501155013,323,0
1501155312,315,0
1501155612,322,0
1501156211,626,0
1501156513,296,0
1501156812,309,0
1501157112,318,0
1501157711,628,0
1501158012,327,0
1501158612,623,0
1501158913,311,0
1501159212,310,0
1501159512,317,0
1501160111,621,1
1501160412,297,0
1501160712,293,0
1501161012,288,0
1501161613,609,0
1501161918,318,0
1501162213,284,2
1501162512,290,0
1501162813,302,0
1501163113,294,0
1501163412,323,0
1501163712,321,0
