DateTime,AddedIPs,RemovedIPs
1502115170,150,160
1502115369,41,0
1502116106,215,152
1502116584,5,3
1502117077,126,285
1502118067,197,6
1502118502,6,4
1502118993,352,173
1502119962,260,73
1502120440,3,1
1502120906,102,180
1502121877,201,67
1502122364,5,0
1502122844,190,244
1502123812,132,63
1502124283,4,4
1502124759,247,203
1502125729,128,141
1502126215,4,6
1502126671,235,182
1502127626,129,212
1502128125,6,1
1502128633,182,236
1502129812,154,332
1502130273,50,1
1502130753,211,165
1502131709,201,6
1502132197,2,5
1502132684,187,271
1502133627,166,6
1502134124,6,4
1502134587,74,368
1502136197,274,159
1502137238,215,167
1502138193,146,91
1502139168,325,198
1502140129,51,276
1502140569,41,0
1502141050,264,183
1502142048,179,141
1502143000,260,54
1502144380,166,298
1502145384,178,27
1502146334,183,238
1502147316,169,68
1502147769,32,0
1502148265,149,193
1502149241,119,278
1502149712,58,0
1502150218,287,268
1502151161,179,139
1502151369,35,855
1502152120,258,211
1502153071,297,175
1502154086,382,187
1502155003,89,272
1502155953,342,97
1502156916,322,240
1502157389,7,0
1502157888,108,236
1502158826,259,240
1502159302,25,0
1502159798,103,261
1502160756,218,244
1502161746,73,157
1502162170,43,0
1502162662,338,211
1502163631,257,251
1502164600,238,129
1502165566,159,263
1502165770,51,0
1502166519,233,140
1502167478,298,358
1502168491,275,201
1502169400,81,11
1502170364,343,233
1502171306,197,347
1502172285,226,138
1502173231,225,294
1502174197,169,70
1502175201,224,331
1502176130,119,167
1502177068,288,463
1502178028,178,127
1502179018,319,277
1502179960,211,51
1502180169,88,0
1502180907,198,385
1502181875,226,528
1502182899,267,204
1502184039,356,348
1502184732,6,4
1502185000,245,108
1502185946,188,231
1502186548,3,7
1502186930,184,119
1502187369,86,0
1502187876,268,244
1502188375,6,6
1502188842,106,103
1502189805,293,286
1502190291,5,4
1502190756,114,47
1502190969,83,0
1502191703,161,145
1502192193,5,4
1502192676,285,304
1502193720,227,104
1502194112,4,4
1502194851,309,216
1502195785,163,9
1502196034,2,5
1502196760,222,238
1502197703,213,8
1502197962,8,4
1502198169,67,0
1502198651,255,156
1502199629,177,57
1502199869,3,3
1502200584,202,220
1502201561,172,115
1502202048,74,1
1502202514,162,315
1502203477,107,11
1502203968,7,3
1502204470,241,427
1502205395,96,156
1502205849,75,4
1502206348,177,0
1502207307,280,240
1502207791,4,2
1502208274,239,9
1502209252,175,214
1502209721,8,4
1502210703,399,188
1502211717,117,92
1502212832,259,159
1502213551,7,5
1502213789,83,127
1502214763,170,147
1502215479,6,3
1502215811,68,118
1502216169,98,0
1502216891,267,145
1502217372,2,7
1502217860,250,157
1502219116,195,250
