DateTime,Entries,UniqueIPs
1501959174,110546,9420693
1501959370,110537,9420684
1501959614,110416,9420562
1501960209,110367,9420513
1501960814,110362,9420507
1501961300,110364,9420509
1501961407,110367,9420512
1501962012,110162,9420303
1501962612,109938,9420078
1501962984,109943,9420083
1501963491,109940,9420081
1501963510,109898,9420039
1501964105,109850,9419991
1501964704,109855,9419996
1501965404,109805,9419945
1501965905,109870,9420010
1501966506,109912,9420052
1501967323,109882,9420021
1501967413,109783,9419922
1501968009,109732,9419871
1501968315,109658,9419797
1501968911,109599,9419738
1501969226,109606,9419745
1501969535,109452,9419587
1501970115,109353,9419488
1501970731,109254,9419388
1501971560,109253,9419387
1501971927,109317,9419451
1501972505,109249,9419368
1501973119,109196,9419315
1501973528,109201,9419319
1501973723,109205,9419323
1501974325,109151,9419269
1501974907,109302,9377180
1501975459,109308,9377187
1501975818,109239,9377118
1501976416,109188,9377067
1501977007,109313,9377192
1501977368,109320,9377200
1501977651,109234,9377114
1501977917,109186,9377066
1501978242,109037,9376915
1501978805,109000,9376878
1501979289,109009,9376887
1501980026,108962,9376838
1501980610,108967,9376841
1501981262,108895,9376770
1501981807,108820,9376695
1501982131,108738,9376604
1501982708,108780,9376646
1501983400,108804,9376669
1501983904,108847,9376712
1501984507,108847,9376712
1501985325,108837,9376701
1501985704,108836,9376700
1501986305,108834,9376697
1501986904,108831,9376694
1501987224,108831,9376693
1501987808,108824,9376686
1501988406,108828,9376689
1501989163,108821,9376683
1501989310,108810,9376672
1501989909,108810,9376672
1501990519,108801,9376663
1501991059,108795,9376658
1501991116,108792,9376656
1501991712,108790,9376654
1501992522,108787,9376651
1501993006,108783,9376647
1501993219,108772,9376636
1501993805,108767,9376631
1501994407,108739,9376602
1501994906,108751,9376614
1501995004,108752,9376615
1501995308,108723,9376581
1501995904,108720,9376578
1501996504,108722,9376581
1501996827,108732,9376589
1501997405,108663,9376505
1501998007,108621,9376462
1501998755,108653,9376493
1501998909,108567,9376393
1501999505,108560,9376386
1502000105,108551,9376377
1502000666,108548,9376374
1502000709,108478,9376304
1502001306,108421,9376238
1502001905,108454,9376271
1502002594,108388,9376196
1502003096,108390,9376198
1502003105,108408,9376214
1502003705,108398,9376203
1502004518,108417,9376217
1502004904,108413,9376213
1502005505,108413,9376213
1502006104,108461,9376262
1502006520,108467,9376268
1502007144,108487,9376288
1502007605,108486,9376288
1502008360,108494,9376296
1502008805,108507,9376309
1502009049,108509,9376312
1502009404,108540,9376343
1502010007,108520,9376325
1502010268,108513,9376315
1502010604,108514,9376316
1502011206,108484,9376286
1502012201,108412,9376213
1502012705,108366,9376167
1502013304,108384,9376185
1502014123,108337,9376138
1502014206,108289,9376089
1502014804,108291,9376091
1502015406,108282,9376082
1502016019,96582,9364038
1502016608,108171,9375970
1502017205,108192,9375992
1502017945,108141,9375942
1502018109,108079,9375872
1502018708,108041,9375809
1502019304,108045,9375813
1502019847,108035,9375803
1502020205,108007,9375775
1502020804,108007,9375775
1502021106,107977,9375745
1502022055,107949,9375718
1502022306,107965,9375736
1502022906,107949,9375720
