DateTime,AddedIPs,RemovedIPs
1501129708,16,11
1501131650,28,15
1501133537,11,10
1501135475,34,26
1501139309,17,20
1501141225,23,34
1501143152,15,14
1501145069,20,22
1501147007,20,8
1501148893,59,20
1501150833,16,1030
1501152738,14,35
1501154907,497,0
1501156907,41,22
1501158756,28,18
1501160674,59,19
1501162588,44,20
1501164510,16,10
1501166670,36,19
1501168606,13,8
1501170517,20,13
1501172439,14,10
1501174366,14,9
1501176263,55,12
1501178184,13,10
1501180357,20,49
1501182275,28,17
1501184193,40,14
1501186117,33,60
1501188035,35,47
1501189955,48,14
1501191861,37,6
1501194076,29,33
1501195942,45,45
1501197860,456,0
1501199790,19,20
1501201710,38,17
1501203654,20,15
1501205532,24,21
1501209158,47,26
1501211076,34,10
1501212998,17,11
1501214926,12,8
1501216838,26,11
1501218762,25,12
1501220660,22,6
1501222609,30,41
1501224512,29,22
1501226445,16,15
1501228355,31,12
1501230268,55,42
1501232193,26,45
1501234116,16,13
1501236121,22,7
1501237947,36,1079
1501240124,583,0
1501242024,14,59
1501244206,14,35
1501246112,37,52
1501248039,30,27
1501249962,15,26
1501252113,18,15
1501254097,26,10
1501255958,53,25
1501257878,67,19
1501259785,55,17
1501261706,53,32
1501263638,15,19
1501265694,50,20
1501267959,37,11
1501269850,28,20
1501271795,35,10
1501273707,15,18
1501275666,20,10
1501277559,17,29
1501279490,49,64
1501281383,27,14
1501283314,569,0
1501285226,76,50
1501287151,42,26
1501289062,74,39
1501291003,27,16
1501292914,21,30
1501294830,21,16
1501296750,18,8
1501298662,35,14
1501300582,22,13
1501302502,33,16
1501304494,58,34
1501306350,40,18
1501308512,42,18
1501310435,53,12
1501312363,36,20
1501314265,19,15
1501316200,19,15
1501318106,27,8
1501320014,25,20
1501321941,21,58
1501323850,24,1362
1501325780,28,21
1501327730,642,0
1501329753,18,19
1501331565,27,33
1501333470,26,30
1501335405,23,17
1501337305,53,22
1501341412,77,72
1501343313,17,21
1501345248,24,15
1501347169,55,24
1501349067,54,30
1501350985,49,24
1501352904,61,33
1501354912,15,16
1501357250,33,50
1501359157,25,55
1501361065,31,28
1501362984,167,23
1501364907,105,21
1501366958,20,46
1501368995,17,21
1501372673,592,0
1501374503,16,24
1501376521,20,24
1501378364,13,15
1501380284,16,11
1501382200,27,34
1501384135,14,27
1501386272,14,18
1501388188,25,21
1501390127,15,21
1501392055,36,23
1501393963,19,24
1501395920,16,33
1501397788,27,19
1501399737,26,19
1501401672,27,31
1501403547,57,65
1501407647,52,40
1501409561,48,1681
1501411473,24,31
1501413411,854,0
1501415328,14,64
1501417238,49,77
1501419166,36,47
1501421052,37,46
1501423003,21,23
1501425161,30,37
1501427075,16,38
1501429002,18,30
1501430954,22,39
1501432840,20,23
1501434774,11,46
1501436682,45,38
1501438487,41,36
1501440512,31,71
1501442427,7,25
1501444343,13,13
1501446249,106,33
1501448189,16,15
1501450103,32,32
1501452102,21,28
1501453953,8,15
1501456109,744,0
1501458033,13,52
1501459960,29,48
1501461864,20,56
1501463792,27,33
1501465707,44,25
1501467626,51,18
1501469542,41,18
1501471464,20,40
1501473389,21,21
1501475311,10,27
1501477287,18,22
1501479152,26,46
1501481073,15,33
1501482991,34,83
1501486814,24,48
1501488759,22,24
1501490665,23,19
1501492594,26,28
1501494510,12,18
1501496423,24,1460
1501498338,23,19
1501500262,589,0
1501502178,43,41
1501504122,16,12
1501506099,62,32
1501507963,21,17
1501511796,40,25
1501513722,54,29
1501515629,20,14
1501517814,21,24
1501519706,40,13
1501521643,15,44
1501523566,20,41
1501525466,23,17
1501527398,26,25
1501529300,19,10
1501531263,15,24
1501533149,28,40
1501535337,42,52
1501537241,20,25
1501539594,20,56
1501541541,9,10
1501543462,548,0
1501545383,13,24
1501547307,11,21
1501549277,16,18
1501551166,13,13
1501553074,21,33
1501556890,25,32
1501558842,12,10
1501560753,13,21
1501562668,24,14
1501564585,9,38
1501566493,14,39
1501568425,24,22
1501570346,19,23
1501572250,8,10
1501574186,32,22
1501576126,20,37
1501578145,26,29
1501579969,11,25
1501581875,24,30
1501583796,85,1285
1501585709,576,0
1501587643,22,20
1501589600,25,29
1501591472,33,19
1501593402,24,28
1501595315,31,41
1501597238,12,46
1501599151,46,49
1501601072,17,9
1501603005,19,32
1501604931,17,11
1501606887,11,15
1501608760,47,48
1501610673,22,15
1501612851,17,23
1501614773,54,14
1501616679,28,14
1501618590,16,22
1501620517,18,30
1501622444,23,23
1501624370,29,14
1501626264,13,11
1501628208,18,19
1501630108,525,0
1501632292,14,10
1501634204,22,35
1501636141,13,32
1501638030,13,29
1501639979,14,75
1501641866,13,23
1501643826,20,14
1501645723,17,29
1501647638,24,9
1501649550,16,12
1501651473,30,32
1501653390,12,12
1501655580,18,15
1501657480,36,32
1501659420,20,14
1501661333,21,18
1501663481,25,29
1501665396,25,27
1501667332,13,10
1501669248,23,1026
1501671157,22,18
1501673062,477,0
1501675013,28,16
1501676923,27,20
1501678935,20,6
1501680750,30,16
1501682692,37,24
1501686537,30,17
1501688449,37,25
1501690381,22,11
1501692266,30,20
1501694225,25,16
1501696138,14,10
1501698057,25,23
1501699955,19,30
1501701861,10,7
1501703774,26,40
1501705699,25,25
1501707734,10,22
1501709563,41,43
1501713412,48,48
1501715323,433,0
1501717260,81,17
1501719175,26,16
1501721075,18,6
1501723010,52,15
1501724916,41,15
1501726861,23,12
1501728773,15,11
1501730654,28,13
1501732596,21,12
1501734511,35,15
1501736563,68,21
1501740772,67,43
1501742663,21,19
1501744591,38,16
1501746527,77,31
1501748429,32,20
1501750347,24,23
1501752265,20,20
1501754200,21,20
1501756124,25,1070
1501758092,39,29
1501759953,507,0
1501761884,43,36
1501765693,50,21
1501767637,68,18
1501769546,46,12
1501771456,47,23
1501773404,16,15
1501775312,33,25
1501777241,37,15
1501779165,23,24
1501781061,18,25
1501783273,29,18
1501785359,84,38
1501789247,55,53
1501791420,50,33
1501793313,52,23
1501795226,52,22
1501797172,53,18
1501799070,76,17
1501801007,36,23
1501802936,483,0
1501804945,42,18
1501806771,25,20
1501808673,90,19
1501810599,30,14
1501814426,63,29
1501816349,55,17
1501818271,31,14
1501820222,61,21
1501822134,30,21
1501824038,28,22
1501825972,58,19
1501827866,43,12
1501829807,44,22
1501831726,21,24
1501833742,37,31
1501835570,33,26
1501837480,24,23
1501839402,52,37
1501843227,86,1391
1501845418,799,0
1501847330,48,32
1501849266,34,18
1501851172,33,19
1501853071,29,42
1501854987,28,43
1501856931,21,38
1501858954,59,25
1501860989,29,21
1501862914,56,50
1501864834,48,51
1501867018,38,24
1501868906,36,30
1501870826,22,28
1501872746,20,20
1501874663,37,48
1501876599,55,64
1501878520,28,33
1501880499,26,25
1501882366,18,31
1501884536,67,47
1501886430,55,30
1501888374,673,0
1501890260,23,31
1501892218,42,21
1501894123,10,12
1501896050,30,36
1501897943,16,34
1501899867,29,27
1501901799,32,19
1501903725,7,24
1501905666,16,20
1501907569,32,60
1501911402,31,44
1501915228,28,50
1501917150,19,27
1501919053,19,83
1501920992,32,34
1501922912,15,16
1501924829,21,33
1501926743,15,23
1501928683,24,1831
1501930608,22,40
1501932527,893,0
1501934492,41,51
1501936352,14,22
1501938270,22,16
1501940186,21,46
1501942123,18,40
1501944026,39,46
1501945948,30,43
1501947862,14,49
1501949786,34,60
1501951699,30,29
1501953629,25,28
1501955545,28,51
1501957454,26,62
1501959371,19,43
1501961301,41,34
1501963492,45,68
1501965405,17,19
1501967324,23,39
1501969227,11,33
1501971561,11,41
1501973530,4,49
1501975460,844,0
1501977369,10,27
1501979290,13,30
1501981263,13,11
1501983401,26,68
1501985326,10,41
1501987225,9,22
1501989165,14,57
1501991060,23,44
1501993007,5,37
1501994907,7,31
1501996828,13,34
1501998756,11,50
1502000667,9,57
1502002595,16,43
1502004519,13,20
1502006521,17,39
1502008361,18,40
1502010269,29,55
1502014124,34,1463
1502016020,10,21
1502017945,509,0
1502019848,37,22
1502022056,17,13
1502023946,34,27
1502025861,16,18
1502027796,20,26
1502029713,17,24
1502031718,26,38
1502033536,8,10
1502035471,21,20
1502037374,17,20
1502039289,33,33
1502041245,10,17
1502043405,15,16
1502045306,7,16
1502047229,14,16
1502049154,21,27
1502051079,14,12
1502052986,12,21
1502054906,18,21
1502056895,36,21
1502058747,21,19
1502060677,18,26
1502062584,459,0
1502064523,15,17
1502066429,38,37
1502068358,6,26
1502070250,18,23
1502072449,4,16
1502074362,15,34
1502076264,25,13
1502078192,20,19
1502080119,19,17
1502082078,38,29
1502085869,32,19
1502087774,26,15
1502089703,41,30
1502091617,11,25
1502093547,31,12
1502095453,32,24
1502097408,34,21
1502099326,22,12
1502101245,22,910
1502103177,24,18
1502105066,359,0
1502106988,32,15
1502108907,24,18
1502110914,31,7
1502112766,34,12
1502114675,24,19
1502116585,41,20
1502118503,24,13
1502120441,24,13
1502122365,21,8
1502124284,27,13
1502126216,13,11
1502128127,11,11
1502130274,26,12
1502132198,30,15
1502134124,18,18
