DateTime,Entries,UniqueIPs
1501044773,1990,1990
1501046664,1990,1990
1501048597,1984,1984
1501050513,2022,2022
1501052492,2022,2022
1501054346,2028,2028
1501056523,2030,2030
1501058425,2081,2081
1501060615,2080,2080
1501062512,2072,2072
1501064459,1160,1160
1501066365,1198,1198
1501068275,1620,1620
1501070177,1640,1640
1501072372,1651,1651
1501074276,1621,1621
1501078126,1627,1627
1501080050,1629,1629
1501082215,1642,1642
1501084104,1661,1661
1501086046,1687,1687
1501087957,1708,1708
1501089868,1710,1710
1501092143,1711,1711
1501093956,1703,1703
1501095879,1690,1690
1501097785,1695,1695
1501099700,1702,1702
1501101624,1704,1704
1501103812,1707,1707
1501105722,1699,1699
1501107709,1696,1696
1501110156,2084,2084
1501112180,2122,2122
1501114107,2146,2146
1501116016,2173,2173
1501117950,2153,2153
1501119862,2158,2158
1501121791,2162,2162
1501123700,2157,2157
1501125877,2165,2165
1501127789,2172,2172
1501129708,2177,2177
1501131650,2190,2190
1501133537,2191,2191
1501135475,2199,2199
1501139309,2196,2196
1501141225,2185,2185
1501143152,2186,2186
1501145069,2184,2184
1501147007,2196,2196
1501148893,2235,2235
1501150833,1221,1221
1501152738,1200,1200
1501154907,1697,1697
1501156907,1716,1716
1501158756,1726,1726
1501160674,1766,1766
1501162588,1790,1790
1501164510,1796,1796
1501166670,1813,1813
1501168606,1818,1818
1501170517,1825,1825
1501172439,1829,1829
1501174366,1834,1834
1501176263,1877,1877
1501178184,1880,1880
1501180357,1851,1851
1501182275,1862,1862
1501184193,1888,1888
1501186117,1861,1861
1501188035,1849,1849
1501189955,1883,1883
1501191861,1914,1914
1501194076,1910,1910
1501195942,1910,1910
1501197860,2366,2366
1501199790,2365,2365
1501201710,2386,2386
1501203654,2391,2391
1501205532,2394,2394
1501209158,2415,2415
1501211076,2439,2439
1501212998,2445,2445
1501214926,2449,2449
1501216838,2464,2464
1501218762,2477,2477
1501220660,2493,2493
1501222609,2482,2482
1501224512,2489,2489
1501226445,2490,2490
1501228355,2509,2509
1501230268,2522,2522
1501232193,2503,2503
1501234116,2506,2506
1501236121,2521,2521
1501237947,1478,1478
1501240124,2061,2061
1501242024,2016,2016
1501244206,1995,1995
1501246112,1980,1980
1501248039,1983,1983
1501249962,1972,1972
1501252113,1975,1975
1501254097,1991,1991
1501255958,2019,2019
1501257878,2067,2067
1501259785,2105,2105
1501261706,2126,2126
1501263638,2122,2122
1501265694,2152,2152
1501267959,2178,2178
1501269850,2186,2186
1501271795,2211,2211
1501273707,2208,2208
1501275666,2218,2218
1501277559,2206,2206
1501279490,2191,2191
1501281383,2204,2204
1501283314,2773,2773
1501285226,2799,2799
1501287151,2815,2815
1501289062,2850,2850
1501291003,2861,2861
1501292914,2852,2852
1501294830,2857,2857
1501296750,2867,2867
1501298662,2888,2888
1501300582,2897,2897
1501302502,2914,2914
1501304494,2938,2938
1501306350,2960,2960
1501308512,2984,2984
1501310435,3025,3025
1501312363,3041,3041
1501314265,3045,3045
1501316200,3049,3049
1501318106,3068,3068
1501320014,3073,3073
1501321941,3036,3036
1501323850,1698,1698
1501325780,1705,1705
1501327730,2347,2347
1501329753,2346,2346
1501331565,2340,2340
1501333470,2336,2336
1501335405,2342,2342
1501337305,2373,2373
1501341412,2378,2378
1501343313,2374,2374
1501345248,2383,2383
1501347169,2414,2414
1501349067,2438,2438
1501350985,2463,2463
1501352904,2491,2491
1501354912,2490,2490
1501357250,2473,2473
1501359157,2443,2443
1501361065,2446,2446
1501362984,2590,2590
1501364907,2674,2674
1501366958,2648,2648
1501368995,2644,2644
1501372673,3236,3236
1501374503,3228,3228
1501376521,3224,3224
1501378364,3222,3222
1501380284,3227,3227
1501382200,3220,3220
1501384135,3207,3207
1501386272,3203,3203
1501388188,3207,3207
1501390127,3201,3201
1501392055,3214,3214
1501393963,3209,3209
1501395920,3192,3192
1501397788,3200,3200
1501399737,3207,3207
