DateTime,Entries,UniqueIPs
1501551902,12799,12799
1501552803,13113,13113
1501553702,13057,13057
1501554602,12627,12627
1501555502,12188,12188
1501556402,11787,11787
1501557302,11328,11328
1501558202,11142,11142
1501559102,11142,11142
1501560002,11255,11255
1501560902,11279,11279
1501561802,11269,11269
1501562702,11135,11135
1501563601,10948,10948
1501564501,10753,10753
1501565402,10576,10576
1501566302,10237,10237
1501567202,10006,10006
1501568102,9811,9811
1501569003,9807,9807
1501569902,20480,20480
1501570803,28411,28411
1501571704,35992,35992
1501572604,39941,39941
1501573504,39994,39994
1501574404,39995,39995
1501575305,39994,39994
1501576206,39997,39997
1501577105,39995,39995
1501578005,39995,39995
1501578905,39998,39998
1501579806,39996,39996
1501580705,39993,39993
1501581606,39992,39992
1501582506,39990,39990
1501583406,39991,39991
1501584306,39989,39989
1501585207,39989,39989
1501586107,39991,39991
1501587008,39994,39994
1501587908,39995,39995
1501588809,39997,39997
1501589708,39994,39994
1501590608,39992,39992
1501591508,39993,39993
1501592409,39994,39994
1501593309,39992,39992
1501594209,39993,39993
1501595108,39993,39993
1501596008,39993,39993
1501596908,39995,39995
1501597808,39996,39996
1501598708,39997,39997
1501599608,39999,39999
1501600509,39999,39999
1501601408,39998,39998
1501602308,40000,40000
1501603208,40000,40000
1501604107,39998,39998
1501605009,39996,39996
1501605908,39996,39996
1501606808,39995,39995
1501607708,39995,39995
1501608607,39994,39994
1501609507,39994,39994
1501610406,39994,39994
1501612207,39990,39990
1501613107,39991,39991
1501614007,39989,39989
1501614907,39986,39986
1501615806,39985,39985
1501616707,39981,39981
1501617607,39983,39983
1501618507,39981,39981
1501619407,39980,39980
1501620306,39977,39977
1501621207,39975,39975
1501622106,39976,39976
1501623007,39975,39975
1501623907,39975,39975
1501624806,39973,39973
1501625706,39974,39974
1501626607,39974,39974
1501627506,39974,39974
1501628406,39974,39974
1501629306,39975,39975
1501630207,39971,39971
1501631106,39968,39968
1501632005,39968,39968
1501632906,39966,39966
1501633805,39965,39965
1501634705,39962,39962
1501635605,39960,39960
1501636504,39957,39957
1501637404,39954,39954
