DateTime,Entries,UniqueIPs
1501771921,8295,8855
1501772521,8299,8859
1501773122,8298,8858
1501774921,8296,8856
1501777921,8294,8853
1501779121,8295,8854
1501780322,8296,8855
1501780921,8296,8855
1501782121,8297,8856
1501782721,8296,8855
1501784522,8297,8856
1501785722,8299,8858
1501786321,8300,8859
1501786922,8300,8859
1501787522,8296,8855
1501788121,8296,8855
1501789322,8294,8853
1501791722,8293,8852
1501792922,8288,8847
1501794121,8287,8846
1501795321,8285,8844
1501796522,8284,8843
1501797122,8283,8840
1501798321,8281,8838
1501798922,8282,8839
1501799521,8283,8840
1501800121,8276,8833
1501801921,8276,8833
1501803721,8274,8831
1501805521,8274,8831
1501806722,8275,8832
1501807321,8274,8831
1501807923,8276,8833
1501808522,8277,8834
1501809122,8276,8833
1501810321,8278,8835
1501810922,8278,8834
1501811521,8277,8833
1501812122,8278,8834
1501813321,8279,8835
1501814521,8280,8836
1501815122,8270,8826
1501815722,8272,8828
1501816922,8273,8829
1501818122,8273,8830
1501818722,8272,8830
1501819922,8269,8827
1501820522,8271,8829
1501821721,8274,8832
1501824121,8274,8832
1501825322,8273,8831
1501825922,8275,8833
1501826522,8276,8832
1501827121,8275,8831
1501828322,8277,8833
1501828922,8277,8834
1501830122,8276,8833
1501830722,8277,8834
1501831321,8278,8835
1501831921,8279,8836
1501833121,8280,8837
1501833721,8281,8838
1501834322,8282,8835
1501834921,8283,8836
1501835522,8282,8835
1501836721,8280,8833
1501837321,8282,8835
1501837922,8280,8833
1501839722,8278,8831
1501840322,8279,8832
1501841521,8277,8830
1501842121,8277,8829
1501842721,8280,8832
1501843322,8278,8830
1501846921,8280,8832
1501848121,8279,8831
1501848721,8277,8827
1501849322,8277,8827
1501851122,8274,8824
1501851721,8275,8824
1501852922,8276,8825
1501853522,8277,8826
1501854122,8283,8832
1501855322,8279,8828
1501856522,8280,8829
1501857722,8281,8831
1501858322,8278,8828
1501858922,8281,8831
1501860721,8283,8833
1501861922,8282,8832
1501863122,8279,8827
1501863722,8280,8828
1501864922,8281,8829
1501866122,8285,8834
1501866722,8282,8830
1501869121,8283,8831
1501869721,8285,8833
1501870322,8284,8832
1501870922,8285,8833
1501872722,8286,8834
1501874521,8287,8835
1501875122,8284,8832
1501876921,8286,8834
1501879922,8287,8835
1501880521,8286,8834
1501881722,8286,8834
1501882922,8285,8833
1501884122,8273,8816
1501884721,8275,8818
1501885321,8276,8819
1501885921,8278,8821
1501886521,8277,8819
1501887122,8279,8821
1501887722,8278,8820
1501888922,8277,8819
1501890121,8276,8818
1501891322,8275,8817
1501891922,8276,8818
1501892522,8274,8816
1501893724,8275,8817
1501894322,8273,8814
1501895523,8272,8813
1501896121,8269,8810
1501896721,8270,8811
1501897921,8269,8810
1501899722,8268,8809
1501900322,8270,8811
1501900921,8269,8810
1501902122,8266,8807
1501903921,8266,8807
1501905122,8267,8808
1501905722,8268,8809
1501906921,8270,8811
1501908722,8268,8809
1501909322,8265,8805
1501909922,8266,8806
1501910522,8268,8808
1501911722,8265,8805
1501912922,8262,8802
1501914122,8263,8803
1501914721,8264,8802
1501915321,8266,8804
1501916522,8260,8798
1501917121,8261,8799
1501917721,8263,8801
1501918322,8264,8802
1501918922,8265,8803
1501920722,8264,8802
1501921321,8265,8803
1501922522,8259,8797
1501924921,8258,8796
1501926121,8257,8795
1501926722,8263,8801
1501927322,8262,8800
1501928521,8267,8805
1501929121,8266,8804
1501929721,8265,8803
1501930322,8267,8805
1501930921,8259,8797
1501931521,8261,8799
1501932122,8261,8799
1501932721,8263,8801
1501933921,8264,8802
1501934521,8264,8802
1501935721,8268,8806
1501936322,8269,8807
1501936921,8270,8808
1501937522,8270,8808
1501938122,8272,8810
1501939321,8270,8808
1501939922,8274,8812
1501940522,8277,8815
1501941121,8278,8816
1501941722,8279,8817
1501942322,8281,8819
1501942921,8282,8820
1501943522,8286,8824
1501944122,8288,8826
1501944722,8288,8826
1501945322,8292,8830
1501946522,8293,8831
1501947721,8294,8832
1501948321,8298,8836
1501948921,8292,8830
1501950121,8290,8828
1501951322,8292,8830
1501952521,8293,8831
1501953122,8304,8842
1501953721,8303,8841
1501954921,8305,8843
1501956123,8306,8844
1501956722,8308,8846
1501957322,8308,8846
1501958522,8312,8850
1501959121,8307,8845
1501959721,8297,8835
1501960921,8308,8846
1501961522,8307,8845
1501962122,8305,8843
1501963322,8305,8843
1501964521,8323,8861
1501965122,8322,8860
1501965721,8325,8863
1501966922,8327,8865
1501967522,8323,8860
1501968121,8324,8861
1501969322,8326,8863
1501970521,8326,8863
1501971722,8325,8862
1501972322,8326,8863
1501974122,8324,8860
1501974722,8325,8861
