DateTime,AddedIPs,RemovedIPs
1502110921,80,80
1502111521,80,80
1502112121,80,80
1502113321,80,80
1502114521,79,79
1502115121,80,80
1502115721,80,80
1502116921,80,80
1502117522,80,80
1502118121,78,78
1502118721,80,80
1502119321,80,80
1502119921,80,80
1502120522,80,80
1502121722,80,80
1502122922,79,79
1502123521,79,79
1502124122,33,33
1502124722,80,80
1502125921,79,79
1502126521,78,78
1502127122,79,79
1502127723,80,80
1502128921,76,76
1502129522,80,80
1502130122,73,73
1502130721,80,80
1502131322,79,79
1502132522,77,77
1502133121,80,80
1502133722,80,80
1502136121,79,79
1502136721,78,78
1502137322,80,80
1502138522,80,80
1502139721,80,80
1502140322,80,80
1502140921,80,80
1502142122,79,79
1502142722,80,80
1502143321,80,80
1502144521,75,75
1502145122,80,80
1502145721,80,80
1502146921,80,80
1502147522,80,80
1502148122,80,80
1502148721,80,80
1502149322,74,74
1502149921,80,80
1502150521,77,77
1502151723,80,80
1502152322,80,80
1502152922,75,75
1502153522,80,80
1502154121,80,80
1502154721,80,80
1502155322,76,76
1502156522,77,77
1502157722,80,80
1502158322,80,80
1502158922,80,80
1502160122,76,76
1502160722,80,80
1502161322,80,80
1502161922,79,79
1502162521,80,80
1502163722,79,79
1502164323,80,80
1502164921,80,80
1502165522,78,78
1502166121,80,80
1502167322,80,80
1502167921,66,66
1502168522,80,80
1502169722,79,79
1502170322,79,79
1502170921,80,80
1502172121,80,80
1502172722,72,72
1502173322,80,80
1502174522,30,30
1502175722,80,80
1502176321,80,80
1502176921,78,78
1502177522,80,80
1502178121,80,80
1502179322,70,70
1502179922,80,80
1502180521,80,80
1502181722,80,80
1502182321,80,80
1502182921,80,80
1502184122,78,78
1502185322,77,77
1502185921,80,80
1502187122,80,80
1502187722,80,80
1502188321,78,78
1502188922,80,80
1502190121,80,80
1502191321,79,79
1502191921,80,80
1502192522,76,76
1502193122,80,80
1502193721,80,80
1502194322,77,77
1502194921,79,79
1502195522,80,80
1502196121,78,78
1502196721,80,80
1502197321,80,80
1502197921,80,80
1502198522,80,80
1502199722,80,80
1502200322,80,80
1502200922,79,79
1502201521,80,80
1502202121,80,80
1502202721,80,80
1502203321,77,77
1502203922,80,80
1502204521,80,80
1502205722,77,77
1502206322,80,80
1502206922,79,79
1502208121,80,80
1502208722,80,80
1502209322,80,80
1502210522,70,70
1502211121,80,80
1502211721,80,80
1502212922,79,79
1502213521,80,80
1502214121,80,80
1502214722,80,80
1502215322,74,74
1502215921,80,80
1502216522,80,80
1502217122,80,80
1502217721,80,80
1502218321,80,80
1502218921,80,80
1502219521,80,80
1502220121,80,80
1502220721,80,80
1502221321,80,80
1502222522,80,80
1502223721,80,80
1502224322,79,79
1502224921,80,80
1502226121,80,80
1502227321,78,78
1502227922,79,79
1502228521,80,80
1502229722,60,60
1502230923,80,80
1502232122,80,80
1502233322,80,80
1502234522,80,80
1502235122,80,80
1502235721,80,80
1502236921,80,80
1502238122,80,80
1502239321,80,80
1502239923,79,79
1502240521,80,80
1502241121,80,80
1502241722,79,79
1502242321,80,80
1502242922,80,80
1502244122,79,79
1502244722,80,80
1502245321,80,80
1502245921,80,80
1502246521,80,80
1502247121,80,80
1502247722,78,78
1502248922,80,80
1502249521,80,80
1502250121,80,80
1502250722,78,78
1502251322,80,80
1502251922,75,75
1502252522,80,80
1502253121,80,80
1502253721,80,80
1502254921,77,77
1502256122,78,78
1502257322,80,80
1502257922,79,79
1502258522,80,80
1502259122,80,80
1502259722,79,79
1502260322,77,77
1502260922,80,80
1502261521,79,79
1502262121,80,80
1502262722,80,80
1502263322,56,56
1502264521,70,70
1502265122,61,61
1502265722,79,79
1502266322,80,80
1502266922,80,80
1502267522,80,80
1502268121,72,72
1502268721,80,80
1502269322,62,62
1502269923,78,78
1502270522,80,80
1502271722,72,72
1502272322,80,80
1502272921,66,66
1502274122,77,77
